timestamp,event,side,bid,ask,spread_usd,ounces,synthetic_lots,equity_inr,realized_inr,trade_pnl_inr,momentum_5s,momentum_15s,reason
2026-09-23T17:27:11,START,,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,challenge_started
2026-09-23T17:28:52,ENTRY,SELL,4308.69,4308.91,0.22,0.121256,0.00121256,497.45,0.0,-2.55,-1.05,-0.8,confirmed_breakout
2026-09-23T17:29:06,EXIT,SELL,4308.87,4309.09,0.22,0.121256,0.00121256,495.36,-4.64,-4.64,0.425,-0.01,CONFIRMED_REVERSAL
2026-09-23T17:30:19,ENTRY,BUY,4310.6,4310.89,0.29,0.120069,0.00120069,492.03,-4.64,-3.33,0.815,1.46,confirmed_breakout
2026-09-23T17:30:53,EXIT,BUY,4312.09,4312.29,0.2,0.120069,0.00120069,509.15,9.15,13.79,-0.53,0.29,CONFIRMED_REVERSAL
2026-09-23T17:31:36,ENTRY,BUY,4312.65,4312.88,0.23,0.123354,0.00123354,506.43,9.15,-2.72,1.395,1.61,confirmed_breakout
2026-09-23T17:32:16,EXIT,BUY,4312.36,4312.53,0.17,0.123354,0.00123354,503.01,3.01,-6.14,-0.635,-0.305,CONFIRMED_REVERSAL
2026-09-23T17:33:05,ENTRY,SELL,4312.29,4312.54,0.25,0.121884,0.00121884,500.09,3.01,-2.92,-0.565,-0.7,confirmed_breakout
2026-09-23T17:33:08,EXIT,SELL,4312.42,4312.77,0.35,0.121884,0.00121884,497.41,-2.59,-5.6,0.335,-0.465,CONFIRMED_REVERSAL
2026-09-23T17:35:10,ENTRY,BUY,4313.5,4313.81,0.31,0.120485,0.00120485,493.84,-2.59,-3.57,1.01,1.305,confirmed_breakout
2026-09-23T17:35:27,EXIT,BUY,4313.75,4314.01,0.26,0.120485,0.00120485,496.72,-3.28,-0.69,-0.355,0.145,CONFIRMED_REVERSAL
2026-09-23T17:38:19,ENTRY,BUY,4314.43,4314.72,0.29,0.120292,0.00120292,493.38,-3.28,-3.34,0.835,0.775,confirmed_breakout
2026-09-23T17:38:43,EXIT,BUY,4314.65,4314.91,0.26,0.120292,0.00120292,495.91,-4.09,-0.81,-0.415,-0.31,CONFIRMED_REVERSAL
2026-09-23T17:40:48,ENTRY,BUY,4314.32,4314.59,0.27,0.1201,0.001201,492.81,-4.09,-3.1,0.74,1.135,confirmed_breakout
2026-09-23T17:41:33,EXIT,BUY,4315.96,4316.19,0.23,0.1201,0.001201,511.66,11.66,15.75,-0.595,-0.595,CONFIRMED_REVERSAL
2026-09-23T17:43:15,ENTRY,SELL,4316.21,4316.53,0.32,0.123867,0.00123867,507.87,11.66,-3.79,-0.985,-0.955,confirmed_breakout
2026-09-23T17:43:25,EXIT,SELL,4316.26,4316.59,0.33,0.123867,0.00123867,507.15,7.15,-4.5,0.94,-0.91,CONFIRMED_REVERSAL
2026-09-23T17:44:56,ENTRY,BUY,4318.68,4318.97,0.29,0.122698,0.00122698,503.75,7.15,-3.41,0.895,1.375,confirmed_breakout
2026-09-23T17:45:04,EXIT,BUY,4318.04,4318.34,0.3,0.122698,0.00122698,496.23,-3.77,-10.92,-0.915,0.29,CONFIRMED_REVERSAL
2026-09-23T17:46:28,ENTRY,SELL,4316.42,4316.66,0.24,0.120127,0.00120127,493.47,-3.77,-2.76,-0.96,-0.59,confirmed_breakout
2026-09-23T17:46:44,EXIT,SELL,4316.54,4316.76,0.22,0.120127,0.00120127,492.32,-7.68,-3.91,0.445,0.19,CONFIRMED_REVERSAL
2026-09-23T17:47:49,ENTRY,SELL,4315.1,4315.29,0.19,0.119217,0.00119217,490.16,-7.68,-2.17,-1.28,-1.295,confirmed_breakout
2026-09-23T17:48:10,EXIT,SELL,4314.63,4314.94,0.31,0.119217,0.00119217,494.15,-5.85,1.83,0.355,-0.39,PROFIT_LOCK
2026-09-23T17:49:25,ENTRY,BUY,4316.17,4316.44,0.27,0.119622,0.00119622,491.06,-5.85,-3.09,0.96,1.165,confirmed_breakout
2026-09-23T17:49:40,EXIT,BUY,4315.88,4316.19,0.31,0.119622,0.00119622,487.74,-12.26,-6.41,-0.46,-0.27,CONFIRMED_REVERSAL
2026-09-23T17:50:12,ENTRY,SELL,4313.85,4314.16,0.31,0.118141,0.00118141,484.23,-12.26,-3.5,-0.63,-1.095,confirmed_breakout
2026-09-23T17:50:27,EXIT,SELL,4313.02,4313.36,0.34,0.118141,0.00118141,493.28,-6.72,5.54,-0.18,-0.965,PROFIT_LOCK
2026-09-23T17:51:06,ENTRY,SELL,4312.33,4312.53,0.2,0.119525,0.00119525,490.99,-6.72,-2.29,-0.765,-0.665,confirmed_breakout
2026-09-23T17:51:34,EXIT,SELL,4311.48,4311.75,0.27,0.119525,0.00119525,499.91,-0.09,6.63,0.18,-0.01,PROFIT_LOCK
2026-09-23T17:54:12,ENTRY,BUY,4312.8,4313.13,0.33,0.12111,0.0012111,496.09,-0.09,-3.82,0.675,1.5,confirmed_breakout
2026-09-23T17:54:24,EXIT,BUY,4312.63,4312.94,0.31,0.12111,0.0012111,494.12,-5.88,-5.8,-0.635,0.175,CONFIRMED_REVERSAL
2026-09-23T17:57:00,ENTRY,SELL,4311.88,4312.21,0.33,0.119741,0.00119741,490.34,-5.88,-3.78,-0.97,-1.545,confirmed_breakout
2026-09-23T17:57:04,EXIT,SELL,4312.81,4313.14,0.33,0.119741,0.00119741,479.68,-20.32,-14.44,0.93,-0.82,CONFIRMED_REVERSAL
2026-09-23T17:58:36,ENTRY,BUY,4312.31,4312.65,0.34,0.116221,0.00116221,475.9,-20.32,-3.78,1.22,1.555,confirmed_breakout
2026-09-23T17:58:44,EXIT,BUY,4312.07,4312.39,0.32,0.116221,0.00116221,473.23,-26.77,-6.45,-0.375,0.97,CONFIRMED_REVERSAL
2026-09-23T18:00:17,ENTRY,SELL,4309.83,4310.14,0.31,0.114733,0.00114733,469.82,-26.77,-3.4,-1.025,-0.675,confirmed_breakout
2026-09-23T18:00:25,EXIT,SELL,4310.28,4310.72,0.44,0.114733,0.00114733,463.46,-36.54,-9.77,0.535,-0.705,CONFIRMED_REVERSAL
