case,pnl,final,pf,trades,wins,losses,maxdd,peak,best,worst,avg,max_losing_streak,without_best_pnl,v41_trades,breakout_trades,median_mfe,median_mae,mean_hold
development:base,225.11043267005476,725.1104326700547,1.385641354118134,95,44,51,125.24960462113336,783.2451522036341,91.80260084046589,-26.090870917705697,2.369583501790051,6,133.30783182958885,68,27,14.564965872018233,-7.063399782750187,272.3684210526316
validation:base,129.2680226927491,629.2680226927491,1.917995279221139,19,7,11,76.46824093011503,657.1816929193295,82.37300854687808,-18.741426047643756,6.80358014172364,5,46.895014145871016,8,11,4.900519343546971,-13.22296015556233,266.13157894736844
development:spread+10%,130.24322487234562,630.2432248723456,1.2312903663535562,91,40,51,162.73801101011452,734.5036680585383,94.95571367378454,-22.530387593234828,1.4312442293664351,8,35.28751119856108,67,24,12.753938900708183,-7.276773839800595,266.9010989010989
validation:spread+10%,17.552553803885353,517.5525538038853,1.117909320513478,17,5,12,93.75840485351524,610.2264609925235,83.40671863032811,-19.180413148599868,1.032503164934433,5,-65.85416482644277,8,9,2.2010042343769127,-12.48386541564843,232.23529411764707
development:spread+25%,25.38836534923439,525.3883653492344,1.0657581270152607,78,34,44,99.20328179766994,584.9005561043135,70.62271981309074,-19.06686756781724,0.3254918634517231,6,-45.23435446385635,62,16,11.40025421447637,-5.8825516952933,271.70512820512823
validation:spread+25%,-25.93242785387977,474.06757214612026,0.7194717008509949,12,3,9,75.63080281777661,537.7187886383834,40.55419813828787,-15.918356216803826,-2.1610356544899805,4,-66.48662599216763,8,4,2.0647391195057594,-11.663550068519076,236.16666666666663
development:sample1s,83.78542132118862,583.7854213211887,1.1413765395864357,103,46,57,127.0883979842818,670.2486351600272,53.80067282107117,-20.43549690221096,0.8134506924387243,4,29.984748500117448,70,33,10.91821889778311,-6.943583847195107,271.99029126213594
validation:sample1s,60.52638644524971,560.5263864452497,1.5118016408933024,18,6,11,65.29414603662741,580.548760888089,78.42977884577967,-17.119284172127088,3.362577024736096,5,-17.903392400529953,7,11,6.390949074149443,-9.833549040216525,273.8333333333333
development:slip0.02,209.61948589485797,709.6194858948579,1.3583324611077958,95,44,51,128.71072378963527,769.9877661648479,91.28160645848588,-26.16005593697152,2.2065209041564,6,118.33787943637208,68,27,14.243003395514206,-7.23870788853586,272.34736842105264
validation:slip0.02,125.87446900925526,625.8744690092552,1.884203778105844,19,7,12,77.09481501431401,653.8423562736588,82.0704060176492,-18.88288706966005,6.624972053118698,5,43.80406299160606,8,11,4.720337707720752,-13.360974402026192,266.05263157894734
development:slip0.05,184.1625228200313,684.1625228200313,1.3125281469342236,95,44,51,134.29569604804772,746.8437069912001,90.91033421360665,-26.311572027627676,1.938552871789804,6,93.25218860642468,68,27,13.496185195188884,-7.490197969268308,272.3578947368421
validation:slip0.05,123.02784943185668,623.0278494318567,1.855947352131269,19,7,12,77.23990777218171,651.1745022011547,81.61795557354928,-18.01811570884536,6.47514997009772,5,41.4098938583074,8,11,4.460260359410412,-13.567161525380348,265.4736842105263
development:slip0.10,145.63841920205098,645.638419202051,1.2453816964816304,95,42,53,142.94836371307747,712.1524330045077,89.89399470314471,-26.56017546994924,1.5330359916005358,6,55.74442449890627,68,27,12.534476516682147,-7.858132587465947,272.0736842105263
validation:slip0.10,117.8223674012275,617.8223674012274,1.7940722617808815,19,7,12,79.50906998240328,646.2401742008045,81.62563968419151,-18.437879947214416,6.201177231643553,5,36.196727717035984,8,11,4.031701659170507,-13.94592520501766,265.6578947368421
