interval,segment_id,side,start_ts,end_ts,sample_count
1s,0,1,1789573154.725,1789573154.725,1
1s,0,1,1789577836.916,1789577837.965,2
1s,0,1,1789581028.992,1789581029.993,2
1s,0,1,1789641992.757,1789641992.757,1
1s,0,1,1789654187.951,1789654189.909,3
1s,0,1,1789713296.6780002,1789713296.6780002,1
1s,0,-1,1789722960.6430001,1789722963.85,3
1s,0,-1,1789728974.961,1789728975.66,2
1s,1,-1,1789743770.854,1789743774.9740002,3
1s,1,-1,1789743964.941,1789743964.941,1
1s,1,-1,1789744809.936,1789744815.903,3
1s,1,-1,1789745007.815,1789745012.978,5
1s,1,-1,1789745230.8769999,1789745234.988,4
1s,1,1,1789745637.9910002,1789745644.956,8
1s,2,1,1789963653.855,1789963655.961,2
1s,2,1,1789984997.647,1789984997.647,1
1s,3,1,1790006264.808,1790006264.808,1
1s,3,1,1790006289.9550002,1790006289.9550002,1
1s,3,-1,1790012063.96,1790012065.961,3
1s,3,-1,1790018048.984,1790018052.692,4
1s,3,-1,1790022664.515,1790022664.515,1
1s,4,-1,1790072966.9689999,1790072971.982,5
1s,4,-1,1790075668.965,1790075668.965,1
1s,4,1,1790076896.962,1790076896.962,1
1s,4,1,1790081889.859,1790081889.859,1
