interval,segment_id,side,start_ts,end_ts,sample_count
500ms,0,1,1789573152.468,1789573152.468,1
500ms,0,1,1789577836.4689999,1789577837.965,3
500ms,0,1,1789581028.4910002,1789581029.993,4
500ms,0,-1,1789643569.42,1789643569.42,1
500ms,0,1,1789654187.951,1789654189.909,4
500ms,0,1,1789660114.463,1789660114.6620002,2
500ms,0,1,1789701778.447,1789701778.447,1
500ms,0,1,1789713296.6780002,1789713296.6780002,1
500ms,0,-1,1789720203.473,1789720203.473,1
500ms,0,-1,1789722959.244,1789722963.85,6
500ms,0,-1,1789728974.4169998,1789728975.66,3
500ms,1,-1,1789743967.948,1789743967.948,1
500ms,1,-1,1789744809.4899998,1789744815.903,6
500ms,1,-1,1789745006.2140002,1789745013.333,9
500ms,1,-1,1789745230.8769999,1789745235.4899998,8
500ms,1,1,1789745637.9910002,1789745643.854,11
500ms,1,-1,1789751987.461,1789751987.461,1
500ms,2,1,1789963653.855,1789963653.855,1
500ms,2,1,1789984997.647,1789984998.349,2
500ms,3,1,1790006264.459,1790006264.808,2
500ms,3,-1,1790012061.956,1790012066.415,6
500ms,3,-1,1790018047.4380002,1790018052.692,10
500ms,3,-1,1790022664.515,1790022664.515,1
500ms,4,1,1790068421.339,1790068421.339,1
500ms,4,-1,1790072966.384,1790072972.532,13
500ms,4,-1,1790075668.965,1790075668.965,1
500ms,4,1,1790076896.465,1790076897.3609998,3
500ms,4,1,1790081889.859,1790081889.859,1
