episode_500ms,episode_1s,segment_id,side,start_500ms_ts,start_1s_ts,delay_sec,match
0,0,0,1,1789573152.468,1789573154.725,2.256999969482422,matched
1,1,0,1,1789577836.4689999,1789577836.916,0.44700002670288086,matched
2,2,0,1,1789581028.4910002,1789581028.992,0.500999927520752,matched
3,,0,-1,1789643569.42,,,absent
4,4,0,1,1789654187.951,1789654187.951,0.0,matched
5,,0,1,1789660114.463,,,absent
6,,0,1,1789701778.447,,,absent
7,5,0,1,1789713296.6780002,1789713296.6780002,0.0,matched
8,,0,-1,1789720203.473,,,absent
9,6,0,-1,1789722959.244,1789722960.6430001,1.3990001678466797,matched
10,7,0,-1,1789728974.4169998,1789728974.961,0.5440001487731934,matched
11,9,1,-1,1789743967.948,1789743964.941,-3.006999969482422,matched
12,10,1,-1,1789744809.4899998,1789744809.936,0.446000337600708,matched
13,11,1,-1,1789745006.2140002,1789745007.815,1.6009998321533203,matched
14,12,1,-1,1789745230.8769999,1789745230.8769999,0.0,matched
15,13,1,1,1789745637.9910002,1789745637.9910002,0.0,matched
16,,1,-1,1789751987.461,,,absent
17,14,2,1,1789963653.855,1789963653.855,0.0,matched
18,15,2,1,1789984997.647,1789984997.647,0.0,matched
19,16,3,1,1790006264.459,1790006264.808,0.3489999771118164,matched
20,18,3,-1,1790012061.956,1790012063.96,2.003999948501587,matched
21,19,3,-1,1790018047.4380002,1790018048.984,1.5459997653961182,matched
22,20,3,-1,1790022664.515,1790022664.515,0.0,matched
23,,4,1,1790068421.339,,,absent
24,21,4,-1,1790072966.384,1790072966.9689999,0.5849997997283936,matched
25,22,4,-1,1790075668.965,1790075668.965,0.0,matched
26,23,4,1,1790076896.465,1790076896.962,0.49699997901916504,matched
27,24,4,1,1790081889.859,1790081889.859,0.0,matched
