source_id,target_id,source_entry_ts,target_entry_ts,delay_sec,match
500ms-s0-t0,1s-s0-t0,1789573152.468,1789573154.725,2.256999969482422,matched
500ms-s0-t57,1s-s0-t61,1789654187.951,1789654187.951,0.0,matched
500ms-s0-t65,,1789660114.463,,,absent_within_120s
500ms-s0-t82,,1789701778.447,,,absent_within_120s
500ms-s0-t87,1s-s0-t89,1789713296.6780002,1789713296.6780002,0.0,matched
500ms-s0-t89,,1789720203.473,,,absent_within_120s
500ms-s0-t93,1s-s0-t94,1789728974.4169998,1789728974.961,0.5440001487731934,matched
500ms-s1-t11,,1789751987.461,,,absent_within_120s
500ms-s2-t5,,1789984997.647,,,absent_within_120s
500ms-s3-t3,1s-s3-t2,1790006264.459,1790006264.808,0.3489999771118164,matched
500ms-s3-t11,1s-s3-t7,1790012061.956,1790012063.96,2.003999948501587,matched
500ms-s3-t13,1s-s3-t8,1790018047.4380002,1790018048.984,1.5459997653961182,matched
500ms-s3-t15,1s-s3-t10,1790022664.515,1790022664.515,0.0,matched
500ms-s4-t4,,1790068421.339,,,absent_within_120s
500ms-s4-t5,1s-s4-t4,1790072966.384,1790072966.9689999,0.5849997997283936,matched
500ms-s4-t7,1s-s4-t7,1790075668.965,1790075668.965,0.0,matched
500ms-s4-t9,,1790076896.465,,,absent_within_120s
