trade_500ms,trade_1s,engine,segment_id,entry_delay_sec,pnl_delta_1s_minus_500ms_inr,match
500ms-s0-t1,1s-s0-t1,PRIMARY,0,0.0,0.01965093750000868,matched
500ms-s0-t2,1s-s0-t2,PRIMARY,0,0.0,-0.054218072439091713,matched
500ms-s0-t3,1s-s0-t3,PRIMARY,0,30.58799982070923,4.338781503806018,matched
500ms-s0-t4,,PRIMARY,0,,,absent_within_120s
500ms-s0-t5,1s-s0-t6,PRIMARY,0,-67.8840000629425,2.1749316307119066,matched
500ms-s0-t7,1s-s0-t8,PRIMARY,0,0.6030001640319824,-0.9461267596751171,matched
500ms-s0-t8,1s-s0-t9,PRIMARY,0,0.0,2.8315726789535987,matched
500ms-s0-t9,1s-s0-t10,PRIMARY,0,0.5,-0.5812977849071643,matched
500ms-s0-t10,1s-s0-t11,SECONDARY,0,0.0,-0.9766753062038518,matched
500ms-s0-t11,1s-s0-t12,PRIMARY,0,0.0,-1.6022063614673598,matched
500ms-s0-t12,,SECONDARY,0,,,absent_within_120s
500ms-s0-t14,1s-s0-t15,PRIMARY,0,0.0,-0.5273006987247157,matched
500ms-s0-t15,1s-s0-t17,PRIMARY,0,86.09500026702881,6.924831885222517,matched
500ms-s0-t17,1s-s0-t19,SECONDARY,0,0.0,-6.2355582161477745,matched
500ms-s0-t20,1s-s0-t21,PRIMARY,0,0.0,7.746389068234812,matched
500ms-s0-t22,1s-s0-t24,PRIMARY,0,0.0,-5.3051437142102245,matched
500ms-s0-t24,1s-s0-t25,SECONDARY,0,0.0,6.462379157945826,matched
500ms-s0-t26,1s-s0-t28,PRIMARY,0,38.48399996757507,12.371955376174071,matched
500ms-s0-t29,,PRIMARY,0,,,absent_within_120s
500ms-s0-t30,,SECONDARY,0,,,absent_within_120s
500ms-s0-t32,1s-s0-t35,SECONDARY,0,16.50600004196167,-0.4516170063517997,matched
500ms-s0-t34,1s-s0-t36,PRIMARY,0,0.0,1.005395251263657,matched
500ms-s0-t36,1s-s0-t38,SECONDARY,0,-52.00399994850159,0.7415595265349921,matched
500ms-s0-t37,,PRIMARY,0,,,absent_within_120s
500ms-s0-t39,1s-s0-t46,PRIMARY,0,83.11700010299683,3.996429758107954,matched
500ms-s0-t40,,PRIMARY,0,,,absent_within_120s
500ms-s0-t41,1s-s0-t47,SECONDARY,0,0.0,-6.996841134773646,matched
500ms-s0-t44,1s-s0-t49,PRIMARY,0,0.0,-11.9761217162321,matched
500ms-s0-t45,,PRIMARY,0,,,absent_within_120s
500ms-s0-t47,1s-s0-t52,PRIMARY,0,6.569999933242798,-5.725152589357924,matched
500ms-s0-t48,,PRIMARY,0,,,absent_within_120s
500ms-s0-t49,1s-s0-t53,PRIMARY,0,1.1530001163482666,-15.883192635489099,matched
500ms-s0-t51,,PRIMARY,0,,,absent_within_120s
500ms-s0-t52,1s-s0-t56,PRIMARY,0,41.870999813079834,-9.323831243822038,matched
500ms-s0-t53,1s-s0-t58,PRIMARY,0,0.4480001926422119,-3.550657876477869,matched
500ms-s0-t54,1s-s0-t59,PRIMARY,0,1.5,6.9930752087457435,matched
500ms-s0-t55,1s-s0-t60,PRIMARY,0,0.04900002479553223,12.571694324922742,matched
500ms-s0-t56,,PRIMARY,0,,,absent_within_120s
500ms-s0-t59,,PRIMARY,0,,,absent_within_120s
500ms-s0-t60,1s-s0-t65,PRIMARY,0,55.28999996185303,-17.07776451371666,matched
500ms-s0-t61,,SECONDARY,0,,,absent_within_120s
500ms-s0-t62,1s-s0-t66,PRIMARY,0,9.91100001335144,-35.61968514912068,matched
500ms-s0-t64,1s-s0-t68,PRIMARY,0,2.1009998321533203,15.705795500568492,matched
500ms-s0-t67,1s-s0-t70,SECONDARY,0,1.5,13.337172048923296,matched
500ms-s0-t68,1s-s0-t71,SECONDARY,0,0.0,17.364237070812756,matched
500ms-s0-t69,1s-s0-t72,PRIMARY,0,0.0,16.28564733368912,matched
500ms-s0-t70,1s-s0-t73,SECONDARY,0,0.49899983406066895,76.20917139830385,matched
500ms-s0-t71,1s-s0-t74,PRIMARY,0,0.0,11.247734930054317,matched
500ms-s0-t72,,SECONDARY,0,,,absent_within_120s
500ms-s0-t73,1s-s0-t75,PRIMARY,0,3.498000144958496,16.98195049793288,matched
500ms-s0-t75,1s-s0-t78,PRIMARY,0,0.5450000762939453,-25.22953654992394,matched
500ms-s0-t76,1s-s0-t79,PRIMARY,0,0.0,10.083018751285763,matched
500ms-s0-t77,1s-s0-t80,PRIMARY,0,0.0,-3.6063755907032418,matched
500ms-s0-t78,1s-s0-t81,PRIMARY,0,0.5990002155303955,9.471479439025602,matched
500ms-s0-t79,1s-s0-t82,PRIMARY,0,0.0,-3.786405851901466,matched
500ms-s0-t80,1s-s0-t84,PRIMARY,0,0.5480003356933594,7.689058568957281,matched
500ms-s0-t81,1s-s0-t85,SECONDARY,0,0.0,8.692916446611672,matched
500ms-s0-t83,,PRIMARY,0,,,absent_within_120s
500ms-s0-t84,1s-s0-t86,PRIMARY,0,13.47599983215332,14.458223964212529,matched
500ms-s0-t85,1s-s0-t87,PRIMARY,0,0.0,2.7777973322262555,matched
500ms-s0-t86,1s-s0-t88,PRIMARY,0,0.0,1.5099874814865542,matched
500ms-s0-t88,1s-s0-t90,PRIMARY,0,0.0,-15.729444604220252,matched
500ms-s0-t90,1s-s0-t91,PRIMARY,0,0.8009998798370361,-20.462793457222023,matched
500ms-s0-t91,1s-s0-t92,SECONDARY,0,0.0,-26.51794339391941,matched
500ms-s0-t92,1s-s0-t93,PRIMARY,0,0.0,-13.619437383179092,matched
500ms-s0-t94,1s-s0-t95,PRIMARY,0,0.0,-5.336308496341179,matched
500ms-s0-t95,,PRIMARY,0,,,absent_within_120s
500ms-s0-t96,1s-s0-t96,PRIMARY,0,0.09999990463256836,-5.429293944857455,matched
500ms-s1-t0,1s-s1-t0,PRIMARY,1,0.0,-0.2624999999989086,matched
500ms-s1-t1,,SECONDARY,1,,,absent_within_120s
500ms-s1-t2,1s-s1-t2,PRIMARY,1,0.508000373840332,-0.3517044683670427,matched
500ms-s1-t4,1s-s1-t4,SECONDARY,1,0.0,0.043315941378740064,matched
500ms-s1-t6,1s-s1-t6,PRIMARY,1,2.6529998779296875,-2.4173701436632093,matched
500ms-s1-t8,1s-s1-t8,SECONDARY,1,0.0,0.21532066452406085,matched
500ms-s1-t9,1s-s1-t9,PRIMARY,1,1.503000020980835,1.8823403570467931,matched
500ms-s1-t10,1s-s1-t10,PRIMARY,1,0.0,-0.2881176390385498,matched
500ms-s1-t12,,PRIMARY,1,,,absent_within_120s
500ms-s1-t14,1s-s1-t12,PRIMARY,1,1.496999979019165,-1.0468224368658579,matched
500ms-s1-t15,1s-s1-t13,SECONDARY,1,0.0,-1.1525251815972029,matched
500ms-s1-t16,1s-s1-t14,SECONDARY,1,0.0,0.0034354339274269563,matched
500ms-s1-t17,1s-s1-t15,PRIMARY,1,1.2009999752044678,-0.9018336466023594,matched
500ms-s1-t18,1s-s1-t16,PRIMARY,1,0.0,-0.03635803821349981,matched
500ms-s1-t19,1s-s1-t17,PRIMARY,1,0.0,0.007905413797084648,matched
500ms-s1-t20,1s-s1-t18,PRIMARY,1,0.0,-1.6279442589846171,matched
500ms-s1-t21,1s-s1-t19,SECONDARY,1,0.4569997787475586,0.12169972313978583,matched
500ms-s1-t22,1s-s1-t20,PRIMARY,1,0.0,0.015224963968034189,matched
500ms-s2-t1,1s-s2-t1,PRIMARY,2,0.0,0.6162965625003114,matched
500ms-s2-t2,1s-s2-t2,SECONDARY,2,0.0,-0.00045996060938868766,matched
500ms-s2-t3,1s-s2-t3,SECONDARY,2,0.0,-0.0016401005081867481,matched
500ms-s2-t7,,SECONDARY,2,,,absent_within_120s
500ms-s3-t1,,SECONDARY,3,,,absent_within_120s
500ms-s3-t2,1s-s3-t1,PRIMARY,3,0.0,-0.46959187500002564,matched
500ms-s3-t4,1s-s3-t3,PRIMARY,3,7.660999774932861,-2.1080015778627477,matched
500ms-s3-t6,,PRIMARY,3,,,absent_within_120s
500ms-s3-t7,,SECONDARY,3,,,absent_within_120s
500ms-s3-t8,1s-s3-t5,PRIMARY,3,-1.803999900817871,6.533460605272751,matched
500ms-s3-t12,,SECONDARY,3,,,absent_within_120s
500ms-s3-t14,1s-s3-t9,PRIMARY,3,0.0,-1.5423819356908197,matched
500ms-s4-t1,1s-s4-t1,PRIMARY,4,6.519999980926514,-0.4653098437495924,matched
500ms-s4-t2,1s-s4-t2,PRIMARY,4,5.454999923706055,-0.4506884038120931,matched
500ms-s4-t6,1s-s4-t6,SECONDARY,4,0.0,-2.8030453094585326,matched
500ms-s4-t10,,SECONDARY,4,,,absent_within_120s
500ms-s4-t13,1s-s4-t13,SECONDARY,4,0.24399995803833008,-5.5391209538767185,matched
500ms-s4-t17,,PRIMARY,4,,,absent_within_120s
