sampling,configuration,segment,pnl_inr
500ms,reconstructed_v4_4,0-40,638.572223
500ms,reconstructed_v4_4,40-50,33.111489
500ms,reconstructed_v4_4,50-60,-16.119013
500ms,reconstructed_v4_4,60-70,24.515913
500ms,reconstructed_v4_4,70-80,148.169263
500ms,v4_5_a,0-40,737.868834
500ms,v4_5_a,40-50,-11.194007
500ms,v4_5_a,50-60,-16.119013
500ms,v4_5_a,60-70,32.327046
500ms,v4_5_a,70-80,134.269593
1s,reconstructed_v4_4,0-40,163.483918
1s,reconstructed_v4_4,40-50,40.554538
1s,reconstructed_v4_4,50-60,-45.954615
1s,reconstructed_v4_4,60-70,74.271845
1s,reconstructed_v4_4,70-80,56.903063
1s,v4_5_a,0-40,111.640000
1s,v4_5_a,40-50,40.554538
1s,v4_5_a,50-60,-45.954615
1s,v4_5_a,60-70,85.420000
1s,v4_5_a,70-80,56.903063
