interval,segment_id,candidate_d_pnl_inr,candidate_e_pnl_inr,delta_e_vs_d_inr,candidate_d_trades,candidate_e_trades,candidate_d_wins,candidate_e_wins,candidate_d_max_drawdown_inr,candidate_e_max_drawdown_inr,candidate_e_primary_veto_ticks,candidate_e_delayed_primary_entries
500ms,0,696.8428619834062,532.3776582342261,-164.4652037491801,98,98,46,45,218.9381795572965,186.1474639936098,14,4
500ms,1,44.100517926115,43.5837315060769,-0.5167864200381018,23,23,12,11,35.71970634386099,35.32638655374518,3,2
500ms,2,-13.57863832016642,-13.57863832016642,0.0,8,8,3,3,29.53955840072996,29.53955840072996,0,0
500ms,3,34.31993370500095,34.31993370500095,0.0,16,16,7,7,45.342126358477344,45.342126358477344,0,0
500ms,4,212.81535096220955,212.81535096220955,0.0,18,18,13,13,22.50067024906457,22.50067024906457,0,0
1s,0,169.91793307493617,162.25211556519605,-7.665817509740123,98,97,42,42,172.14469599809354,167.8005043943814,10,5
1s,1,41.93295235703238,41.59755456810774,-0.335397788924638,21,21,11,11,52.346540357980984,52.66257593357062,1,0
1s,2,-45.95461543615477,-45.95461543615477,0.0,8,8,1,1,55.95226824865756,55.95226824865756,0,0
1s,3,80.42284290821033,80.42284290821033,0.0,11,11,6,6,45.0062855503611,45.0062855503611,0,0
1s,4,78.27872866041719,78.27872866041719,0.0,18,18,11,11,40.75649050493149,40.75649050493149,0,0
