interval,window_id,source,source_range_id,start_ts,end_ts,candidate_d_pnl,candidate_e_pnl,candidate_d_trades,candidate_e_trades,candidate_d_wins,candidate_e_wins,candidate_e_primary_veto_ticks
500ms,0,historical7d,0,1789573436.262,1789587835.237,-20.0711732777786,-21.063723830925824,12,12,3,3,1
500ms,1,recent24h,0,1790189957.94,1790204357.393,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,2,historical7d,136,1789656107.8990002,1789670507.8419998,61.272756328141234,60.883335441719524,17,17,9,9,4
500ms,3,recent24h,0,1790189994.9,1790204394.442,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,4,historical7d,136,1789653575.875,1789667972.968,101.2547842488326,100.88261508931555,19,19,10,10,2
500ms,5,recent24h,0,1790189945.9750001,1790204345.487,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,6,historical7d,0,1789573629.966,1789588029.552,-10.874080860114304,-11.885652106869031,13,13,3,3,1
500ms,7,recent24h,0,1790189931.555,1790204330.826,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,8,historical7d,335,1789750338.976,1789764738.311,48.59696065343586,47.65204826489315,9,9,6,5,1
500ms,9,recent24h,0,1790189978.22,1790204377.967,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,10,historical7d,136,1789661117.4940002,1789675516.631,-11.535298697448866,-11.680954181993059,12,12,6,6,3
500ms,11,recent24h,0,1790189978.922,1790204378.77,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,12,historical7d,0,1789577452.46,1789591851.264,6.044147136872311,4.997586959214345,11,11,3,3,1
500ms,13,recent24h,0,1790189930.353,1790204329.368,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,14,historical7d,136,1789659846.964,1789674246.4390001,-17.91551796409307,-18.355612813110646,14,14,6,6,5
500ms,15,recent24h,0,1790189955.949,1790204354.9550002,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,16,historical7d,335,1789751515.429,1789765914.779,48.96130654652552,48.015766602650274,10,10,7,6,1
500ms,17,recent24h,0,1790189948.224,1790204347.838,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,18,historical7d,335,1789747530.949,1789761929.376,19.33958274524082,18.565451936235036,12,12,7,6,2
500ms,19,recent24h,0,1790189931.315,1790204330.826,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,20,historical7d,0,1789570739.467,1789585138.107,-10.680336594000096,-10.680336594000096,14,14,5,5,0
500ms,21,recent24h,0,1790189968.463,1790204367.817,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,22,historical7d,335,1789741933.945,1789756333.4659998,9.462971469549643,9.85727028657601,15,15,7,7,2
500ms,23,recent24h,0,1790189956.792,1790204356.3,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,24,historical7d,335,1789742402.4910002,1789756802.395,-12.424334616205897,-12.04697547758758,15,15,6,6,2
500ms,25,recent24h,0,1790189951.981,1790204351.498,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,26,historical7d,335,1789745138.4659998,1789759537.7910001,-15.70724765275398,-16.16722868473308,14,14,7,6,3
500ms,27,recent24h,0,1790189935.461,1790204334.9740002,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,28,historical7d,335,1789752719.7910001,1789767119.328,29.0799383599699,28.16864241022529,8,8,5,4,1
500ms,29,recent24h,0,1790189999.351,1790204398.949,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,30,historical7d,0,1789573132.6339998,1789587531.8630002,9.881767889056505,8.827271049984859,13,13,5,5,1
500ms,31,recent24h,0,1790189934.9580002,1790204334.3270001,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,32,historical7d,335,1789740679.424,1789755078.42,15.69115629576197,16.090275415826454,16,16,8,8,2
500ms,33,recent24h,0,1790189936.464,1790204335.328,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,34,historical7d,335,1789741987.817,1789756387.4169998,9.462971469549643,9.85727028657601,15,15,7,7,2
500ms,35,recent24h,0,1790189934.408,1790204333.932,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,36,historical7d,133,1789633828.421,1789648227.993,41.066441202094325,41.066441202094325,6,6,4,4,0
500ms,37,recent24h,0,1790189969.912,1790204369.7129998,-27.100950513536418,-27.100950513536418,8,8,2,2,1
500ms,38,historical7d,0,1789575065.2510002,1789589464.929,-9.291546096273748,-10.30639021531232,12,12,3,3,1
500ms,39,recent24h,0,1790189976.868,1790204376.071,-27.100950513536418,-27.100950513536418,8,8,2,2,1
1s,0,historical7d,364,1789753166.977,1789767565.912,10.988054746574676,10.988054746574676,7,7,3,3,0
1s,1,recent24h,0,1790189985.994,1790204383.9699998,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,2,historical7d,364,1789745114.889,1789759513.9139998,-34.73431414987373,-35.022263206335275,13,13,5,5,1
1s,3,recent24h,0,1790189936.906,1790204335.977,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,4,historical7d,364,1789749343.934,1789763742.375,-20.268989729956235,-20.268989729956235,10,10,4,4,0
1s,5,recent24h,0,1790189994.9,1790204393.9980001,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,6,historical7d,364,1789742419.851,1789756818.76,-11.718963605478848,-12.021156670632536,13,13,6,6,1
1s,7,recent24h,0,1790189941.825,1790204340.9390001,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,8,historical7d,153,1789660917.9550002,1789675316.983,-16.139449866947132,-16.60674487983414,12,12,5,5,3
1s,9,recent24h,0,1790189970.9699998,1790204370.9139998,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,10,historical7d,364,1789751658.9889998,1789766058.825,17.968629812802078,17.968629812802078,9,9,5,5,0
1s,11,recent24h,0,1790189993.8409998,1790204392.9910002,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,12,historical7d,0,1789579743.9910002,1789594142.926,-62.00636948572719,-62.87838971799124,13,13,2,2,2
1s,13,recent24h,0,1790189941.825,1790204340.9390001,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,14,historical7d,153,1789657263.951,1789671662.9689999,-23.727250224025017,-24.055261555103105,18,18,7,7,3
1s,15,recent24h,0,1790189933.812,1790204332.775,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,16,historical7d,0,1789571816.526,1789586214.2259998,14.609864783686362,14.609864783686362,15,15,6,6,0
1s,17,recent24h,0,1790189971.9169998,1790204370.9139998,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,18,historical7d,364,1789751493.95,1789765893.804,17.968629812802078,17.968629812802078,9,9,5,5,0
1s,19,recent24h,0,1790189969.912,1790204369.7129998,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,20,historical7d,364,1789754338.9459999,1789768737.961,25.18841106913044,25.18841106913044,7,7,3,3,0
1s,21,recent24h,0,1790189969.912,1790204368.962,-27.861680295516123,-27.536109470395502,8,8,2,2,1
