interval,segment_id,candidate_d_pnl_inr,candidate_g_pnl_inr,delta_g_vs_d_inr,candidate_d_trades,candidate_g_trades,candidate_d_wins,candidate_g_wins,candidate_d_max_drawdown_inr,candidate_g_max_drawdown_inr,candidate_g_primary_ratchet_exits,candidate_g_ghost_releases,entry_path_match
500ms,0,696.8428619834062,444.0316889969397,-252.81117298646654,98,98,46,51,218.9381795572965,119.76185229313097,20,20,True
500ms,1,44.100517926115,38.02625540758993,-6.0742625185250745,23,23,12,12,35.71970634386099,39.49844833812642,4,4,True
500ms,2,-13.57863832016642,-13.57863832016642,0.0,8,8,3,3,29.53955840072996,29.53955840072996,1,0,True
500ms,3,34.31993370500095,34.31993370500095,0.0,16,16,7,7,45.342126358477344,45.342126358477344,0,0,True
500ms,4,212.81535096220955,212.81535096220955,0.0,18,18,13,13,22.50067024906457,22.50067024906457,0,0,True
1s,0,169.91793307493617,112.5937090768474,-57.32422399808877,98,98,42,46,172.14469599809354,145.6504387246144,17,17,True
1s,1,41.93295235703238,33.33666124631327,-8.596291110719108,21,21,11,12,52.346540357980984,57.56685901233163,4,4,True
1s,2,-45.95461543615477,-29.49983851455113,16.45477692160364,8,8,1,2,55.95226824865756,47.13472956071104,2,1,True
1s,3,80.42284290821033,80.42284290821033,0.0,11,11,6,6,45.0062855503611,45.0062855503611,0,0,True
1s,4,78.27872866041719,78.27872866041719,0.0,18,18,11,11,40.75649050493149,40.75649050493149,0,0,True
