context,ratchet_exit_ts,legacy_release_ts,ghost_duration_sec,side,legacy_exit_reason,legacy_exit_move_usd
historical7d:500ms:segment0,1789575444.4529998,1789575964.473,520.0200002193451,BUY,7,3.0200000000004366
historical7d:500ms:segment0,1789592399.967,1789592403.4620001,3.495000123977661,BUY,1,-7.4299999999993815
historical7d:500ms:segment0,1789593594.4899998,1789593933.999,339.5090003013611,SELL,7,14.75
historical7d:500ms:segment0,1789596462.492,1789596617.4259999,154.9339997768402,SELL,2,25.090000000000146
historical7d:500ms:segment0,1789598510.42,1789599370.496,860.0759999752045,BUY,7,6.149999999999636
historical7d:500ms:segment0,1789618784.344,1789619534.2089999,749.8649997711182,BUY,7,10.69000000000051
historical7d:500ms:segment0,1789621381.471,1789621906.901,525.4300000667572,SELL,7,16.36999999999989
historical7d:500ms:segment0,1789623432.9950001,1789623987.642,554.646999835968,SELL,7,2.2899999999999636
historical7d:500ms:segment0,1789635904.982,1789636194.948,289.96599984169006,BUY,7,6.6299999999992
historical7d:500ms:segment0,1789641019.996,1789641765.276,745.2799999713898,BUY,7,2.1400000000003274
historical7d:500ms:segment0,1789643646.493,1789643836.987,190.49399995803833,SELL,5,1.2100000000000364
historical7d:500ms:segment0,1789656976.3969998,1789657721.4380002,745.0410003662109,BUY,7,9.6899999999996
historical7d:500ms:segment0,1789661990.224,1789662495.4540002,505.23000025749207,BUY,1,-4.0900000000001455
historical7d:500ms:segment0,1789665039.976,1789665122.47,82.49399995803833,BUY,1,-4.280000000000655
historical7d:500ms:segment0,1789673796.966,1789674472.351,675.3849999904633,SELL,7,1.0
historical7d:500ms:segment0,1789707136.867,1789707481.849,344.981999874115,SELL,7,-0.75
historical7d:500ms:segment0,1789712331.459,1789713111.404,779.9449999332428,SELL,7,-0.4099999999998545
historical7d:500ms:segment0,1789714011.437,1789714650.717,639.2799999713898,BUY,7,4.25
historical7d:500ms:segment0,1789722312.931,1789722322.498,9.566999912261963,BUY,5,5.4299999999993815
historical7d:500ms:segment0,1789735640.9169998,1789736260.488,619.5710000991821,SELL,7,1.360000000000582
historical7d:500ms:segment1,1789749480.485,1789749990.493,510.00800013542175,SELL,7,5.190000000000509
historical7d:500ms:segment1,1789754013.4950001,1789754157.972,144.47699975967407,BUY,5,1.389999999999418
historical7d:500ms:segment1,1789758819.981,1789758913.959,93.97800016403198,BUY,5,0.1999999999998181
historical7d:500ms:segment1,1789759913.968,1789760369.1529999,455.18499994277954,BUY,7,7.480000000000473
recent24h:500ms:whole,1790197394.474,1790197404.635,10.16100001335144,BUY,7,2.0100000000002183
recent24h:500ms:whole,1790228065.368,1790228840.297,774.9289999008179,BUY,7,4.130000000000109
recent24h:500ms:whole,1790249117.4780002,1790249518.46,400.981999874115,SELL,1,-4.210000000000036
recent24h:500ms:whole,1790268124.976,1790268308.987,184.010999917984,SELL,1,-4.1599999999998545
