label,episode_id,window,interval,segment_id,engine,side,onset_pnl_inr,onset_entry_ts,policy_action,policy_entry_ts,policy_wait_sec,policy_predicted_ev_inr,policy_pnl_inr,episode_checkpoints
historical_walkforward,historical7d|1s|1|1|1247,historical7d,1s,1,PRIMARY,SELL,5.84999999999809,1789742547.9980001,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|1|1|1248,historical7d,1s,1,PRIMARY,SELL,-2.9624999999998636,1789742618.994,TAKE,1789742618.994,0.0,2.1098221230895904,-2.9624999999998636,1
historical_walkforward,historical7d|1s|1|1|1249,historical7d,1s,1,PRIMARY,SELL,-4.875000000000682,1789742620.7,TAKE,1789742620.7,0.0,9.295337600160614,-4.875000000000682,3
historical_walkforward,historical7d|1s|1|1|1250,historical7d,1s,1,PRIMARY,SELL,-3.7875000000008185,1789742627.957,TAKE,1789742627.957,0.0,12.302260807318671,-3.7875000000008185,5
historical_walkforward,historical7d|1s|1|1|1251,historical7d,1s,1,PRIMARY,SELL,-3.8624999999990446,1789742642.627,TAKE,1789742642.627,0.0,14.465653862252552,-3.8624999999990446,1
historical_walkforward,historical7d|1s|1|1|1252,historical7d,1s,1,PRIMARY,SELL,-4.087500000000546,1789742645.4780002,TAKE,1789742645.4780002,0.0,17.37955650670269,-4.087500000000546,1
historical_walkforward,historical7d|1s|1|1|1253,historical7d,1s,1,PRIMARY,SELL,-4.087500000000546,1789742647.936,TAKE,1789742647.936,0.0,6.396118347116243,-4.087500000000546,1
historical_walkforward,historical7d|1s|1|1|1254,historical7d,1s,1,PRIMARY,SELL,-3.9750000000015007,1789742654.94,TAKE,1789742654.94,0.0,10.229876356232195,-3.9750000000015007,1
historical_walkforward,historical7d|1s|1|1|1255,historical7d,1s,1,PRIMARY,SELL,-4.275000000001228,1789742657.8049998,TAKE,1789742657.8049998,0.0,11.966400832789132,-4.275000000001228,1
historical_walkforward,historical7d|1s|1|1|1256,historical7d,1s,1,PRIMARY,SELL,-3.3000000000004093,1789742661.904,TAKE,1789742661.904,0.0,11.630950960875943,-3.3000000000004093,1
historical_walkforward,historical7d|1s|1|1|1257,historical7d,1s,1,PRIMARY,SELL,-6.037500000002183,1789742838.3100002,TAKE,1789742838.3100002,0.0,15.638280762857107,-6.037500000002183,1
historical_walkforward,historical7d|1s|1|1|1258,historical7d,1s,1,PRIMARY,SELL,-4.799999999999045,1789743095.9889998,TAKE,1789743095.9889998,0.0,17.282762332583218,-4.799999999999045,2
