window,interval,engine,blocks,positive_block_fraction,median_block_pnl_inr,mean_block_pnl_inr,p10_block_pnl_inr,p90_block_pnl_inr
historical7d,1s,BURST,14,0.5,0.7875000000001365,3.4446428571435,-5.985000000000696,12.221250000001772
historical7d,1s,MICRO,17,0.6470588235294118,11.840625000000102,10.779044117647613,-13.424999999996999,33.721874999997176
historical7d,1s,PRIMARY,19,0.42105263157894735,-4.199999999999591,1.9085526315795003,-24.9375,41.70000000000164
historical7d,1s,SECONDARY,18,0.4444444444444444,-7.949999999999588,2.5937500000005307,-28.207500000001456,42.018750000002115
historical7d,500ms,BURST,16,0.625,2.418750000001637,4.6382812499999915,-6.22500000000116,13.837500000000205
historical7d,500ms,MICRO,17,0.7058823529411765,17.315624999999386,13.074816176470245,-11.883749999998143,42.0412499999992
historical7d,500ms,PRIMARY,20,0.4,-2.7937500000030013,14.893125000000566,-26.12999999999772,90.641249999999
historical7d,500ms,SECONDARY,16,0.375,-5.193749999999112,2.643750000000154,-27.65625,43.856250000000614
recent24h,1s,BURST,3,0.0,-2.1374999999989086,-5.312499999998863,-10.477499999998145,-1.4174999999995634
recent24h,1s,MICRO,4,0.0,-12.562500000001364,-11.400000000001569,-17.433750000002988,-4.436250000000312
recent24h,1s,PRIMARY,6,0.16666666666666666,-30.56250000000375,-24.83125000000257,-48.71250000000259,4.781249999998636
recent24h,1s,SECONDARY,4,0.5,7.031249999998295,4.706249999998704,-11.606250000000614,19.15874999999835
recent24h,500ms,BURST,3,0.0,-3.0375000000015002,-5.812500000001819,-11.677500000001828,-1.057500000001937
recent24h,500ms,MICRO,4,0.0,-9.28125000000307,-8.615625000000477,-12.764999999999645,-3.933749999999235
recent24h,500ms,PRIMARY,6,0.16666666666666666,-50.43750000000273,-42.518750000001546,-81.90000000000225,4.781250000000343
recent24h,500ms,SECONDARY,4,0.25,-15.11250000000075,-11.371875000000102,-15.749999999998636,-4.001250000001048
