window,interval,engine,trades,wins,win_rate,pnl_inr,mean_pnl_inr,median_pnl_inr,profit_factor,fixed_size_max_drawdown_inr,emergency_stops,max_holds
historical7d,1s,BURST,24,12,0.5,48.225000000009004,2.009375000000375,0.5625000000003411,2.3216855087361745,16.350000000002183,0,1
historical7d,1s,MICRO,62,30,0.4838709677419355,183.2437500000094,2.9555443548388616,-0.3187500000001364,1.7110739231665348,47.62499999999932,9,0
historical7d,1s,PRIMARY,79,28,0.35443037974683544,36.262500000010505,0.4590189873419051,-7.274999999998499,1.055821739883409,114.8999999999944,31,27
historical7d,1s,SECONDARY,62,24,0.3870967741935484,46.687500000009535,0.7530241935485409,-15.056249999999523,1.079481613891743,133.23749999999563,35,9
historical7d,500ms,BURST,28,15,0.5357142857142857,74.21249999999986,2.6504464285714238,1.5187500000007503,3.16520787746141,12.45000000000232,0,1
historical7d,500ms,MICRO,77,35,0.45454545454545453,222.27187499999417,2.8866477272726514,-0.5250000000012278,1.705289148024747,71.13750000000181,12,0
historical7d,500ms,PRIMARY,84,35,0.4166666666666667,297.8625000000113,3.5459821428572775,-6.318749999999795,1.4706405166795289,141.1499999999944,30,30
historical7d,500ms,SECONDARY,45,18,0.4,42.30000000000246,0.9400000000000547,-15.074999999998225,1.1047742894296924,136.3500000000056,25,6
recent24h,1s,BURST,5,1,0.2,-15.93749999999659,-3.187499999999318,-2.1374999999989086,0.025229357798300534,15.93749999999659,0,0
recent24h,1s,MICRO,8,1,0.125,-45.600000000006276,-5.700000000000784,-6.074999999999591,0.18987341772146837,45.600000000006276,2,0
recent24h,1s,PRIMARY,22,5,0.22727272727272727,-148.98750000001542,-6.772159090909792,-11.118750000000546,0.27047374219609316,160.46250000001692,10,5
recent24h,1s,SECONDARY,9,4,0.4444444444444444,18.824999999994816,2.091666666666091,-15.2250000000015,1.2397325692453913,48.0375000000015,5,1
recent24h,500ms,BURST,5,0,0.0,-17.437500000005457,-3.4875000000010914,-3.0375000000015002,0.0,17.437500000005457,0,0
recent24h,500ms,MICRO,8,1,0.125,-34.46250000000191,-4.307812500000239,-5.643750000000409,0.2491830065358927,34.46250000000191,1,0
recent24h,500ms,PRIMARY,27,4,0.14814814814814814,-255.11250000000928,-9.448611111111454,-15.075000000001635,0.15762753838533938,268.20000000001187,16,4
recent24h,500ms,SECONDARY,6,1,0.16666666666666666,-45.48750000000041,-7.581250000000068,-15.262500000000614,0.4117361784674989,46.19999999999891,5,0
