window,interval,feature,rows,finite,finite_fraction
historical7d,1s,raw_count2,227,227,1.0
historical7d,1s,raw_count10,227,227,1.0
historical7d,1s,event_rate_accel_2_10,227,227,1.0
historical7d,1s,median_iat2_ms,227,227,1.0
historical7d,1s,median_iat10_ms,227,227,1.0
historical7d,1s,iat_ratio_2_10,227,227,1.0
historical7d,1s,mid_move2,227,227,1.0
historical7d,1s,mid_move10,227,227,1.0
historical7d,1s,dir_mid_move2,227,227,1.0
historical7d,1s,dir_mid_move10,227,227,1.0
historical7d,1s,event_eff2,227,227,1.0
historical7d,1s,event_eff10,227,227,1.0
historical7d,1s,event_imb2,227,227,1.0
historical7d,1s,event_imb10,227,227,1.0
historical7d,1s,dir_event_imb2,227,227,1.0
historical7d,1s,dir_event_imb10,227,227,1.0
historical7d,1s,dir_imbalance_delta_2_10,227,227,1.0
historical7d,1s,quote_sidedness2,227,227,1.0
historical7d,1s,two_sided_update_frac2,227,227,1.0
historical7d,1s,spread_rel10,227,227,1.0
historical7d,1s,spread_change_rel2,227,227,1.0
historical7d,1s,spread_compression10,227,227,1.0
historical7d,1s,dir_range_position10,227,227,1.0
historical7d,500ms,raw_count2,234,234,1.0
historical7d,500ms,raw_count10,234,234,1.0
historical7d,500ms,event_rate_accel_2_10,234,234,1.0
historical7d,500ms,median_iat2_ms,234,234,1.0
historical7d,500ms,median_iat10_ms,234,234,1.0
historical7d,500ms,iat_ratio_2_10,234,234,1.0
historical7d,500ms,mid_move2,234,234,1.0
historical7d,500ms,mid_move10,234,234,1.0
historical7d,500ms,dir_mid_move2,234,234,1.0
historical7d,500ms,dir_mid_move10,234,234,1.0
historical7d,500ms,event_eff2,234,234,1.0
historical7d,500ms,event_eff10,234,234,1.0
historical7d,500ms,event_imb2,234,234,1.0
historical7d,500ms,event_imb10,234,234,1.0
historical7d,500ms,dir_event_imb2,234,234,1.0
historical7d,500ms,dir_event_imb10,234,234,1.0
historical7d,500ms,dir_imbalance_delta_2_10,234,234,1.0
historical7d,500ms,quote_sidedness2,234,234,1.0
historical7d,500ms,two_sided_update_frac2,234,234,1.0
historical7d,500ms,spread_rel10,234,234,1.0
historical7d,500ms,spread_change_rel2,234,234,1.0
historical7d,500ms,spread_compression10,234,234,1.0
historical7d,500ms,dir_range_position10,234,234,1.0
recent24h,1s,raw_count2,44,44,1.0
recent24h,1s,raw_count10,44,44,1.0
recent24h,1s,event_rate_accel_2_10,44,44,1.0
recent24h,1s,median_iat2_ms,44,44,1.0
recent24h,1s,median_iat10_ms,44,44,1.0
recent24h,1s,iat_ratio_2_10,44,44,1.0
recent24h,1s,mid_move2,44,44,1.0
recent24h,1s,mid_move10,44,44,1.0
recent24h,1s,dir_mid_move2,44,44,1.0
recent24h,1s,dir_mid_move10,44,44,1.0
recent24h,1s,event_eff2,44,44,1.0
recent24h,1s,event_eff10,44,44,1.0
recent24h,1s,event_imb2,44,44,1.0
recent24h,1s,event_imb10,44,44,1.0
recent24h,1s,dir_event_imb2,44,44,1.0
recent24h,1s,dir_event_imb10,44,44,1.0
recent24h,1s,dir_imbalance_delta_2_10,44,44,1.0
recent24h,1s,quote_sidedness2,44,44,1.0
recent24h,1s,two_sided_update_frac2,44,44,1.0
recent24h,1s,spread_rel10,44,44,1.0
recent24h,1s,spread_change_rel2,44,44,1.0
recent24h,1s,spread_compression10,44,44,1.0
recent24h,1s,dir_range_position10,44,44,1.0
recent24h,500ms,raw_count2,46,46,1.0
recent24h,500ms,raw_count10,46,46,1.0
recent24h,500ms,event_rate_accel_2_10,46,46,1.0
recent24h,500ms,median_iat2_ms,46,46,1.0
recent24h,500ms,median_iat10_ms,46,46,1.0
recent24h,500ms,iat_ratio_2_10,46,46,1.0
recent24h,500ms,mid_move2,46,46,1.0
recent24h,500ms,mid_move10,46,46,1.0
recent24h,500ms,dir_mid_move2,46,46,1.0
recent24h,500ms,dir_mid_move10,46,46,1.0
recent24h,500ms,event_eff2,46,46,1.0
recent24h,500ms,event_eff10,46,46,1.0
recent24h,500ms,event_imb2,46,46,1.0
recent24h,500ms,event_imb10,46,46,1.0
recent24h,500ms,dir_event_imb2,46,46,1.0
recent24h,500ms,dir_event_imb10,46,46,1.0
recent24h,500ms,dir_imbalance_delta_2_10,46,46,1.0
recent24h,500ms,quote_sidedness2,46,46,1.0
recent24h,500ms,two_sided_update_frac2,46,46,1.0
recent24h,500ms,spread_rel10,46,46,1.0
recent24h,500ms,spread_change_rel2,46,46,1.0
recent24h,500ms,spread_compression10,46,46,1.0
recent24h,500ms,dir_range_position10,46,46,1.0
