match_set,window,feature,pairs,spearman
strict_10s,historical7d,raw_count2,163,0.9333600942869474
strict_10s,historical7d,raw_count10,163,0.9897512076795879
strict_10s,historical7d,event_rate_accel_2_10,163,0.7925043319053732
strict_10s,historical7d,median_iat2_ms,163,0.8139025118845054
strict_10s,historical7d,median_iat10_ms,163,0.9788169385244163
strict_10s,historical7d,iat_ratio_2_10,163,0.7611765467291102
strict_10s,historical7d,mid_move2,163,0.8977073165664899
strict_10s,historical7d,mid_move10,163,0.9819321845571547
strict_10s,historical7d,dir_mid_move2,163,0.8414445408167508
strict_10s,historical7d,dir_mid_move10,163,0.9296431795262056
strict_10s,historical7d,event_eff2,163,0.7830915742609483
strict_10s,historical7d,event_eff10,163,0.9343605431714932
strict_10s,historical7d,event_imb2,163,0.8821738532133936
strict_10s,historical7d,event_imb10,163,0.9682650635137539
strict_10s,historical7d,dir_event_imb2,163,0.8029010901275279
strict_10s,historical7d,dir_event_imb10,163,0.9160822544016639
strict_10s,historical7d,dir_imbalance_delta_2_10,163,0.7333038221182084
strict_10s,historical7d,quote_sidedness2,163,0.8631903237017824
strict_10s,historical7d,two_sided_update_frac2,163,0.8688318528308858
strict_10s,historical7d,spread_rel10,163,0.813275636908065
strict_10s,historical7d,spread_change_rel2,163,0.6480418984849193
strict_10s,historical7d,spread_compression10,163,0.9247347434202824
strict_10s,historical7d,dir_range_position10,163,0.789862387050393
strict_10s,recent24h,raw_count2,33,0.9340493502891416
strict_10s,recent24h,raw_count10,33,0.997323519571763
strict_10s,recent24h,event_rate_accel_2_10,33,0.9178163162926198
strict_10s,recent24h,median_iat2_ms,33,0.9139920422080199
strict_10s,recent24h,median_iat10_ms,33,0.9855512978269274
strict_10s,recent24h,iat_ratio_2_10,33,0.9346863495506913
strict_10s,recent24h,mid_move2,33,0.9612908653276804
strict_10s,recent24h,mid_move10,33,0.9964056152142245
strict_10s,recent24h,dir_mid_move2,33,0.9027673303016431
strict_10s,recent24h,dir_mid_move10,33,0.9874603047232515
strict_10s,recent24h,event_eff2,33,0.7449636613078163
strict_10s,recent24h,event_eff10,33,0.9699908354820355
strict_10s,recent24h,event_imb2,33,0.9467302356867848
strict_10s,recent24h,event_imb10,33,0.9796874001938518
strict_10s,recent24h,dir_event_imb2,33,0.8838107901550282
strict_10s,recent24h,dir_event_imb10,33,0.9830310431979263
strict_10s,recent24h,dir_imbalance_delta_2_10,33,0.8867341246805784
strict_10s,recent24h,quote_sidedness2,33,0.9358320905762749
strict_10s,recent24h,two_sided_update_frac2,33,0.9090909600535959
strict_10s,recent24h,spread_rel10,33,0.8793579408773886
strict_10s,recent24h,spread_change_rel2,33,0.48235490884763343
strict_10s,recent24h,spread_compression10,33,0.9528507471369181
strict_10s,recent24h,dir_range_position10,33,0.7970340423564198
broad_120s,historical7d,raw_count2,181,0.9263450410493308
broad_120s,historical7d,raw_count10,181,0.9818927134444458
broad_120s,historical7d,event_rate_accel_2_10,181,0.7650801813210925
broad_120s,historical7d,median_iat2_ms,181,0.7918086461704245
broad_120s,historical7d,median_iat10_ms,181,0.9708336907008044
broad_120s,historical7d,iat_ratio_2_10,181,0.6789186597369314
broad_120s,historical7d,mid_move2,181,0.8554801635079099
broad_120s,historical7d,mid_move10,181,0.9536988222579983
broad_120s,historical7d,dir_mid_move2,181,0.763924861134983
broad_120s,historical7d,dir_mid_move10,181,0.8570453537035257
broad_120s,historical7d,event_eff2,181,0.7394329676611101
broad_120s,historical7d,event_eff10,181,0.8395162791827218
broad_120s,historical7d,event_imb2,181,0.8125622869013049
broad_120s,historical7d,event_imb10,181,0.9555272784351405
broad_120s,historical7d,dir_event_imb2,181,0.7266719487102012
broad_120s,historical7d,dir_event_imb10,181,0.8855488375627494
broad_120s,historical7d,dir_imbalance_delta_2_10,181,0.6220391609651954
broad_120s,historical7d,quote_sidedness2,181,0.7575164300873393
broad_120s,historical7d,two_sided_update_frac2,181,0.7995248688960978
broad_120s,historical7d,spread_rel10,181,0.7987112868875977
broad_120s,historical7d,spread_change_rel2,181,0.608863539675684
broad_120s,historical7d,spread_compression10,181,0.9167395228746786
broad_120s,historical7d,dir_range_position10,181,0.7363168859482876
broad_120s,recent24h,raw_count2,36,0.8852421376147263
broad_120s,recent24h,raw_count10,36,0.962698113905621
broad_120s,recent24h,event_rate_accel_2_10,36,0.8480010739985168
broad_120s,recent24h,median_iat2_ms,36,0.8661332385041658
broad_120s,recent24h,median_iat10_ms,36,0.9667249486388981
broad_120s,recent24h,iat_ratio_2_10,36,0.8799224746734912
broad_120s,recent24h,mid_move2,36,0.9140539515497951
broad_120s,recent24h,mid_move10,36,0.9833279874373437
broad_120s,recent24h,dir_mid_move2,36,0.8226356805820032
broad_120s,recent24h,dir_mid_move10,36,0.9452813262330899
broad_120s,recent24h,event_eff2,36,0.6640489341714871
broad_120s,recent24h,event_eff10,36,0.9086578862703288
broad_120s,recent24h,event_imb2,36,0.9189311087149199
broad_120s,recent24h,event_imb10,36,0.9220470078588973
broad_120s,recent24h,dir_event_imb2,36,0.8193596181376689
broad_120s,recent24h,dir_event_imb10,36,0.8448020756171576
broad_120s,recent24h,dir_imbalance_delta_2_10,36,0.8180238324400213
broad_120s,recent24h,quote_sidedness2,36,0.8913940002166362
broad_120s,recent24h,two_sided_update_frac2,36,0.8269107118377095
broad_120s,recent24h,spread_rel10,36,0.8678771651188858
broad_120s,recent24h,spread_change_rel2,36,0.5110109465550546
broad_120s,recent24h,spread_compression10,36,0.9419945122036362
broad_120s,recent24h,dir_range_position10,36,0.65173412098794
