interval,dimension,regime,trades,pnl_inr
1s,volatility,high,82,180.235371
1s,volatility,low,12,29.801454
1s,volatility,normal,62,114.561017
500ms,volatility,high,93,296.173527
500ms,volatility,low,10,13.004951
500ms,volatility,normal,60,665.321549
1s,spread,normal,92,239.573163
1s,spread,tight,62,112.011019
1s,spread,wide,2,-26.986340
500ms,spread,normal,89,84.888245
500ms,spread,tight,73,908.950613
500ms,spread,wide,1,-19.338832
1s,efficiency,choppy,64,73.631179
1s,efficiency,efficient,8,17.891277
1s,efficiency,mixed,84,233.075385
500ms,efficiency,choppy,70,659.987757
500ms,efficiency,efficient,9,26.032471
500ms,efficiency,mixed,84,288.479798
1s,activity,fast,37,-54.533461
1s,activity,normal,108,385.662555
1s,activity,slow,11,-6.531253
500ms,activity,fast,43,70.832818
500ms,activity,normal,107,810.249476
500ms,activity,slow,13,93.417732
