window,grid,outcome,n,spread_x_activity,vol_x_activity,raw_range60_rel,raw_spread_rel,raw_activity_rel,raw_er60,dir_m60_rel,dir_m300_rel,dir_momentum_ratio
hist,1s,max_hold,24,0.8231235224591851,1.1695463308918006,1.2401717641067873,0.8153409090923713,1.0095950936428384,0.09318888524568911,1.4403451931756135,2.1714208124902266,0.5962540062626072
hist,1s,stop,25,0.7843137254879581,1.3576282097131784,1.078740157480097,0.794520547944591,1.0310077519379846,0.0987791342952145,2.0396600566580823,2.2152713891448026,0.9711395919578324
hist,1s,zero_cross,18,0.8134554464095823,1.0806902815437938,1.216644204851684,0.80239009816482,0.9638746803069054,0.10367581245806635,1.8897751892190024,1.4646769166428926,1.3223174641928708
hist,500ms,max_hold,27,0.7681034482772002,1.249592833876242,1.33658536585373,0.709677419354744,0.9814814814814816,0.0858642669666909,1.4585987261163211,2.056807051909335,0.6109611004108668
hist,500ms,stop,23,0.8512315270929286,1.381701444622236,1.343320848938285,0.8285714285736002,1.0285714285714285,0.1058163980377904,2.247422680412784,2.2485029940113987,0.9171903713017604
hist,500ms,zero_cross,21,0.8588957055214725,1.1413043478256686,1.2101616628171017,0.7733333333322985,1.0147058823529411,0.1010207673352023,1.9552238805951576,1.5041128084605104,1.3650306748469234
recent,1s,max_hold,5,0.6987295825765846,1.1677567373220414,1.1479642502487866,0.7666666666647466,1.013157894736842,0.08134462406981302,2.1718750000009845,2.0706638115631524,0.8942090267732973
recent,1s,stop,9,0.8689655172428846,1.806582820444555,1.3333333333329724,0.8235294117673808,1.1506849315068493,0.1357837181044575,2.60869565217634,2.9521410579341545,1.2639236985688616
recent,1s,zero_cross,6,1.13663522012684,1.892906825992414,1.543447313861895,0.9111111111114383,1.1603773584905661,0.09654041796892474,2.0706308777430893,2.0692771084341572,0.8923845441309762
recent,500ms,max_hold,4,0.7376424238994314,1.1594713608991163,1.147927750300215,0.7987179487176022,1.0084745762711864,0.08784745327775721,1.9622079129650443,2.0131386942930836,1.1287418257944168
recent,500ms,stop,13,1.0248366013058188,1.6980322003578738,1.325301204819588,0.8750000000028422,1.2935779816513762,0.09266287160024388,2.5602409638542434,2.6748681898066438,0.8061784791434667
recent,500ms,zero_cross,7,1.0324528301916527,1.7715882998900698,1.5737051792830214,0.9206349206346457,1.1238095238095238,0.10775862068964052,1.7045454545452432,2.1425322068890162,0.7479685998728158
