window,interval,segment_id,sample_index,timestamp,classification,candidate_d_position_before,router_position_before,candidate_d_candidates,router_candidates,candidate_d_action,router_action,candidate_d_last,router_last,candidate_d_scores,router_scores,d_cf_pnl_500,router_cf_pnl_500,cf_delta_router_minus_d,d_cf_mfe_usd,d_cf_mae_usd,router_cf_mfe_usd,router_cf_mae_usd
historical7d,500ms,0,43601,1789594424.963,direct_score_substitution,FLAT,FLAT,PRIMARY:SELL|MICRO:SELL,PRIMARY:SELL|MICRO:SELL,PRIMARY:SELL,MICRO:SELL,"{""BURST"":1789573195.315,""MICRO"":1789594346.9910002,""PRIMARY"":1789593933.999,""SECONDARY"":1789592605.4529998}","{""BURST"":1789573195.315,""MICRO"":1789594346.9910002,""PRIMARY"":1789593933.999,""SECONDARY"":1789592605.4529998}","[{""engine"":""MICRO"",""parts"":{""accel_10_60"":-0.4027225856236548,""dir_m10_rel"":0.6209167892380106,""dir_m60_rel"":0.8188740185062847,""execution_heat_penalty"":-0.0,""flow_align10"":0.031578947368421054,""flow_align60"":-0.033789954337899546,""pullback60_edge"":0.7303595206390829},""priority"":2,""qualifies"":true,""score"":0.25217381939860645,""side"":""SELL""},{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.9999885571958608,""dir_m60_rel"":0.8188740185062847,""execution_heat_penalty"":-0.0,""flow_align60"":-0.033789954337899546,""market_heat_penalty"":-0.8588510529749078,""pullback60_edge"":0.7303595206390829,""short_long_balance_stability"":-0.991137836058895},""priority"":0,""qualifies"":true,""score"":0.0950633218527894,""side"":""SELL""}]","[{""engine"":""MICRO"",""parts"":{""accel_10_60"":-0.4027225856236548,""dir_m10_rel"":0.6209167892380106,""dir_m60_rel"":0.8188740185062847,""execution_heat_penalty"":-0.0,""flow_align10"":0.031578947368421054,""flow_align60"":-0.033789954337899546,""pullback60_edge"":0.7303595206390829},""priority"":2,""qualifies"":true,""score"":0.25217381939860645,""side"":""SELL""},{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.9999885571958608,""dir_m60_rel"":0.8188740185062847,""execution_heat_penalty"":-0.0,""flow_align60"":-0.033789954337899546,""market_heat_penalty"":-0.8588510529749078,""pullback60_edge"":0.7303595206390829,""short_long_balance_stability"":-0.991137836058895},""priority"":0,""qualifies"":true,""score"":0.0950633218527894,""side"":""SELL""}]",-17.212499999997135,-17.212499999997135,0.0,0.0,-4.589999999999236,0.0,-4.589999999999236
historical7d,500ms,0,43659,1789594453.99,cooldown_history_divergence,FLAT,FLAT,,PRIMARY:SELL,HOLD,PRIMARY:SELL,"{""BURST"":1789573195.315,""MICRO"":1789594346.9910002,""PRIMARY"":1789594435.471,""SECONDARY"":1789592605.4529998}","{""BURST"":1789573195.315,""MICRO"":1789594435.471,""PRIMARY"":1789593933.999,""SECONDARY"":1789592605.4529998}",[],"[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.999993211666995,""dir_m60_rel"":0.6922595077815553,""execution_heat_penalty"":-0.0,""flow_align60"":-0.0035335689045936395,""market_heat_penalty"":-0.5970297575974438,""pullback60_edge"":0.5902527075811459,""short_long_balance_stability"":-0.9978121799161109},""priority"":0,""qualifies"":true,""score"":0.09773284580164972,""side"":""SELL""}]",nan,-15.0,nan,nan,nan,20.980000000000473,-4.0
historical7d,500ms,0,44244,1789594746.48,slot_occupancy_cascade,FLAT,PRIMARY:SELL,MICRO:BUY,,MICRO:BUY,HOLD,"{""BURST"":1789573195.315,""MICRO"":1789594346.9910002,""PRIMARY"":1789594435.471,""SECONDARY"":1789592605.4529998}","{""BURST"":1789573195.315,""MICRO"":1789594435.471,""PRIMARY"":1789593933.999,""SECONDARY"":1789592605.4529998}","[{""engine"":""MICRO"",""parts"":{""accel_10_60"":-0.42902271659816127,""dir_m10_rel"":0.2815793508963075,""dir_m60_rel"":0.6340110374030087,""execution_heat_penalty"":-0.0,""flow_align10"":0.05389221556886228,""flow_align60"":-0.018682399213372666,""pullback60_edge"":0.8577445016377624},""priority"":2,""qualifies"":true,""score"":0.19707456995634384,""side"":""BUY""}]",[],nan,nan,nan,nan,nan,nan,nan
historical7d,500ms,0,44277,1789594762.982,slot_occupancy_cascade,FLAT,PRIMARY:SELL,SECONDARY:BUY,,SECONDARY:BUY,HOLD,"{""BURST"":1789573195.315,""MICRO"":1789594746.9750001,""PRIMARY"":1789594435.471,""SECONDARY"":1789592605.4529998}","{""BURST"":1789573195.315,""MICRO"":1789594435.471,""PRIMARY"":1789593933.999,""SECONDARY"":1789592605.4529998}","[{""engine"":""SECONDARY"",""parts"":{""accel_10_60"":0.006542299241344491,""dir_m30_rel"":0.3296695098476607,""dir_m60_rel"":0.48633082263673616,""execution_heat_penalty"":-0.0,""flow_align10"":0.1242603550295858,""pullback60_edge"":1.0,""range_expansion"":-0.1668968682238107},""priority"":1,""qualifies"":true,""score"":0.2542723026473595,""side"":""BUY""}]",[],nan,nan,nan,nan,nan,nan,nan
historical7d,500ms,0,44285,1789594766.932,slot_occupancy_cascade,SECONDARY:BUY,FLAT,,MICRO:BUY,HOLD,MICRO:BUY,"{""BURST"":1789573195.315,""MICRO"":1789594746.9750001,""PRIMARY"":1789594435.471,""SECONDARY"":1789592605.4529998}","{""BURST"":1789573195.315,""MICRO"":1789594435.471,""PRIMARY"":1789594765.492,""SECONDARY"":1789592605.4529998}",[],"[{""engine"":""MICRO"",""parts"":{""accel_10_60"":0.1752958146700284,""dir_m10_rel"":0.6827312089076204,""dir_m60_rel"":0.5764214718759282,""execution_heat_penalty"":-0.0,""flow_align10"":0.1656441717791411,""flow_align60"":0.00998003992015968,""pullback60_edge"":1.0},""priority"":2,""qualifies"":true,""score"":0.3728675295932682,""side"":""BUY""}]",nan,nan,nan,nan,nan,nan,nan
historical7d,500ms,0,72977,1789621006.3980002,router_hold,FLAT,FLAT,PRIMARY:SELL,PRIMARY:SELL,PRIMARY:SELL,HOLD,"{""BURST"":1789573195.315,""MICRO"":1789618205.407,""PRIMARY"":1789619534.2089999,""SECONDARY"":1789617657.826}","{""BURST"":1789573195.315,""MICRO"":1789618205.407,""PRIMARY"":1789619534.2089999,""SECONDARY"":1789617657.826}","[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.5951494429100894,""dir_m60_rel"":0.46749534587046565,""execution_heat_penalty"":-0.0,""flow_align60"":-0.008733624454148471,""market_heat_penalty"":-0.6780855961989107,""pullback60_edge"":0.20760697305857312,""short_long_balance_stability"":-0.6979050335253608},""priority"":0,""qualifies"":false,""score"":-0.01635321319132743,""side"":""SELL""}]","[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.5951494429100894,""dir_m60_rel"":0.46749534587046565,""execution_heat_penalty"":-0.0,""flow_align60"":-0.008733624454148471,""market_heat_penalty"":-0.6780855961989107,""pullback60_edge"":0.20760697305857312,""short_long_balance_stability"":-0.6979050335253608},""priority"":0,""qualifies"":false,""score"":-0.01635321319132743,""side"":""SELL""}]",61.38749999999959,nan,nan,16.36999999999989,-0.6100000000005821,nan,nan
historical7d,500ms,0,73581,1789621329.987,slot_occupancy_cascade,PRIMARY:SELL,FLAT,,PRIMARY:SELL,HOLD,PRIMARY:SELL,"{""BURST"":1789573195.315,""MICRO"":1789618205.407,""PRIMARY"":1789619534.2089999,""SECONDARY"":1789617657.826}","{""BURST"":1789573195.315,""MICRO"":1789618205.407,""PRIMARY"":1789619534.2089999,""SECONDARY"":1789617657.826}",[],"[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.3826971852664751,""dir_m60_rel"":0.49478204765739503,""execution_heat_penalty"":-0.0,""flow_align60"":0.012285012285012284,""market_heat_penalty"":-0.663865479592495,""pullback60_edge"":0.6595744680853808,""short_long_balance_stability"":-0.6543084598197355},""priority"":0,""qualifies"":true,""score"":0.03302353912600469,""side"":""SELL""}]",nan,nan,nan,nan,nan,nan,nan
historical7d,500ms,0,74143,1789621640.4950001,slot_occupancy_cascade,PRIMARY:SELL,FLAT,,SECONDARY:SELL,HOLD,SECONDARY:SELL,"{""BURST"":1789573195.315,""MICRO"":1789618205.407,""PRIMARY"":1789619534.2089999,""SECONDARY"":1789617657.826}","{""BURST"":1789573195.315,""MICRO"":1789618205.407,""PRIMARY"":1789621391.893,""SECONDARY"":1789617657.826}",[],"[{""engine"":""SECONDARY"",""parts"":{""accel_10_60"":-0.8699146141232506,""dir_m30_rel"":0.9464814336291905,""dir_m60_rel"":0.9670690714899569,""execution_heat_penalty"":-0.0,""flow_align10"":-0.08,""pullback60_edge"":0.9874100719424972,""range_expansion"":0.9054526927424597},""priority"":1,""qualifies"":true,""score"":0.4080712365258362,""side"":""SELL""}]",nan,nan,nan,nan,nan,nan,nan
historical7d,500ms,0,74796,1789621980.452,slot_occupancy_cascade,FLAT,SECONDARY:SELL,MICRO:SELL,,MICRO:SELL,HOLD,"{""BURST"":1789573195.315,""MICRO"":1789618205.407,""PRIMARY"":1789621906.901,""SECONDARY"":1789617657.826}","{""BURST"":1789573195.315,""MICRO"":1789618205.407,""PRIMARY"":1789621391.893,""SECONDARY"":1789617657.826}","[{""engine"":""MICRO"",""parts"":{""accel_10_60"":-0.19950079436457355,""dir_m10_rel"":0.654464580951371,""dir_m60_rel"":0.7553430948654514,""execution_heat_penalty"":-0.0,""flow_align10"":0.09090909090909091,""flow_align60"":0.0395010395010395,""pullback60_edge"":0.7811244979916342},""priority"":2,""qualifies"":true,""score"":0.3031202156934305,""side"":""SELL""}]",[],nan,nan,nan,nan,nan,nan,nan
historical7d,500ms,0,109815,1789644738.46,router_hold,FLAT,FLAT,PRIMARY:SELL,PRIMARY:SELL,PRIMARY:SELL,HOLD,"{""BURST"":1789573195.315,""MICRO"":1789636862.664,""PRIMARY"":1789643836.987,""SECONDARY"":1789617657.826}","{""BURST"":1789573195.315,""MICRO"":1789636862.664,""PRIMARY"":1789643836.987,""SECONDARY"":1789622360.3769999}","[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.6994281073773834,""dir_m60_rel"":0.5170384617249592,""execution_heat_penalty"":-0.45751911861018324,""flow_align60"":-0.059190031152647975,""market_heat_penalty"":-0.96417583395354,""pullback60_edge"":0.25675675675690623,""short_long_balance_stability"":-0.45751794123901574},""priority"":0,""qualifies"":false,""score"":-0.06645422844230543,""side"":""SELL""}]","[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.6994281073773834,""dir_m60_rel"":0.5170384617249592,""execution_heat_penalty"":-0.45751911861018324,""flow_align60"":-0.059190031152647975,""market_heat_penalty"":-0.96417583395354,""pullback60_edge"":0.25675675675690623,""short_long_balance_stability"":-0.45751794123901574},""priority"":0,""qualifies"":false,""score"":-0.06645422844230543,""side"":""SELL""}]",-8.587499999999864,nan,nan,0.7199999999993452,-2.2899999999999636,nan,nan
