window,interval,segment_id,strategy,trade_index,entry_index,exit_index,engine,side,entry_ts,exit_ts,hold_sec,exit_reason,entry_balance_inr,entry_oz,pnl_inr,mfe_usd,mae_usd,exit_move_usd,partial_pnl_inr
historical7d,500ms,0,router_v2,0,4530,4610,BURST,BUY,1789573152.468,1789573195.315,42.84700012207031,momentum_zero_cross,500.0,0.039184093139022026,3.000000000000682,1.4400000000005093,-0.3000000000001819,0.8000000000001819,0.0
historical7d,500ms,0,router_v2,1,5718,5960,PRIMARY,BUY,1789573826.844,1789573965.96,139.1159999370575,emergency_stop,503.0000000000007,0.03941919769785621,-15.504974999998787,0.0,-4.109999999999673,-4.109999999999673,0.0
historical7d,500ms,0,router_v2,2,6787,7045,PRIMARY,BUY,1789574424.972,1789574554.4499998,129.4779999256134,emergency_stop,487.4950250000019,0.03820410092881989,-14.844223511248194,0.17000000000007276,-4.059999999999491,-4.059999999999491,0.0
historical7d,500ms,0,router_v2,3,8033,9765,PRIMARY,BUY,1789575064.3500001,1789575964.473,900.1229999065399,max_hold,472.6508014887537,0.03704078605553747,10.705540653721817,9.399999999999636,-1.4200000000000728,3.0200000000004366,0.0
historical7d,500ms,0,router_v2,4,11701,12244,PRIMARY,SELL,1789576948.978,1789577221.412,272.4340000152588,momentum_zero_cross,483.3563421424755,0.037879759859695515,-8.954176238190282,2.3400000000001455,-2.600000000000364,-2.4700000000002547,0.0
historical7d,500ms,0,router_v2,5,13180,14943,PRIMARY,SELL,1789577693.868,1789578593.993,900.125,max_hold,474.40216590428525,0.03717803730829459,31.48844376189823,13.800000000000182,-1.2200000000002547,8.850000000000364,0.0
historical7d,500ms,0,router_v2,6,14992,15362,MICRO,BUY,1789578618.875,1789578804.99,186.11500000953674,trail,505.8906096661835,0.03964572953463274,19.97635544919466,6.520000000000437,-0.11999999999989086,4.380000000000109,15.821728817311024
historical7d,500ms,0,router_v2,7,16004,17275,PRIMARY,SELL,1789579129.2659998,1789579778.929,649.6630001068115,emergency_stop,525.8669651153781,0.04121124027963165,-15.933769042995813,3.130000000000109,-4.039999999999964,-4.039999999999964,0.0
historical7d,500ms,0,router_v2,8,18191,19947,PRIMARY,BUY,1789580254.921,1789581155.4060001,900.4850001335144,max_hold,509.93319607238226,0.03996253969915881,46.39117251268539,14.489999999999782,-0.6000000000003638,12.13000000000011,0.0
historical7d,500ms,0,router_v2,9,20905,21093,PRIMARY,BUY,1789581649.428,1789581743.4540002,94.02600026130676,emergency_stop,556.3243685850676,0.04359813174828982,-17.148698661633343,1.949999999999818,-4.109999999999673,-4.109999999999673,0.0
historical7d,500ms,0,router_v2,10,21727,22613,SECONDARY,BUY,1789582071.959,1789582518.9580002,446.99900007247925,emergency_stop,539.1756699234343,0.04225421933714889,-16.90315725210084,1.9099999999998545,-4.180000000000291,-4.180000000000291,0.0
