window,interval,segment_id,candidate_d_pnl_inr,router_v2_pnl_inr,pnl_delta_router_minus_d,candidate_d_trades,router_v2_trades,candidate_d_wins,router_v2_wins,decision_divergences
historical7d,500ms,0,696.8428619834062,342.8760116610654,-353.96685032234086,98,98,46,43,15
historical7d,500ms,1,44.100517926115,43.26730715876124,-0.8332107673537621,23,23,12,12,2
historical7d,500ms,2,-13.57863832016642,-13.57863832016642,0.0,8,8,3,3,0
historical7d,500ms,3,34.31993370500095,34.31993370500095,0.0,16,16,7,7,0
historical7d,500ms,4,212.81535096220955,209.62563688630507,-3.189714075904476,18,18,13,13,1
recent24h,500ms,0,-223.27329174700338,-210.63065213691834,12.642639610085041,39,38,5,5,3
historical7d,1s,0,169.91793307493617,107.89276462516796,-62.025168449768216,98,98,42,41,17
historical7d,1s,1,41.93295235703238,43.09908622997193,1.1661338729395538,21,21,11,11,2
historical7d,1s,2,-45.95461543615477,-45.95461543615477,0.0,8,8,1,1,0
historical7d,1s,3,80.42284290821033,80.42284290821033,0.0,11,11,6,6,0
historical7d,1s,4,78.27872866041719,72.99610605579267,-5.282622604624521,18,18,11,11,1
recent24h,1s,0,-135.9095261798986,-144.21850017990067,-8.308974000002081,34,36,8,8,7
