window,interval,segment_id,pair_type,count,candidate_d_pnl_sum,router_pnl_sum,paired_delta_sum,paired_delta_count
historical7d,1s,0,candidate_d_unmatched,2,6.487028851113212,0,0,0
historical7d,1s,0,exact_same_action,88,-15.372170939860332,-8.205122503352316,7.167048436508006,88
historical7d,1s,0,nearby_replacement,1,28.325021692703444,-22.463056635563404,-50.78807832826685,1
historical7d,1s,0,router_unmatched,2,0,7.134821909359701,0,0
historical7d,1s,0,same_engine_timing_shift,4,159.01153120496022,134.71118687605596,-24.30034432890422,4
historical7d,1s,0,simultaneous_substitution,3,-8.533477733980252,-3.2850650213317882,5.2484127126484665,3
historical7d,1s,1,exact_same_action,20,55.48703747551434,55.47088354995831,-0.016153925556036786,20
historical7d,1s,1,same_engine_timing_shift,1,-13.554085118482067,-12.371797319986277,1.182287798495791,1
historical7d,1s,2,exact_same_action,8,-45.95461543615474,-45.95461543615474,0,8
historical7d,1s,3,exact_same_action,11,80.42284290821048,80.42284290821048,0,11
historical7d,1s,4,exact_same_action,17,54.98902712006636,55.155356375597606,0.16632925553124167,17
historical7d,1s,4,simultaneous_substitution,1,23.289701540350617,17.84074968019479,-5.448951860155827,1
historical7d,500ms,0,candidate_d_unmatched,4,148.8474649946487,0,0,0
historical7d,500ms,0,exact_same_action,90,485.4090071829669,406.16233266166296,-79.24667452130387,90
historical7d,500ms,0,router_unmatched,4,0,-74.81334624449929,0,0
historical7d,500ms,0,same_engine_timing_shift,3,78.8710092126979,27.811644650808645,-51.059364561889254,3
historical7d,500ms,0,simultaneous_substitution,1,-16.28461940690718,-16.28461940690718,0,1
historical7d,500ms,1,exact_same_action,22,55.237232900933826,55.21989868851497,-0.017334212418835926,22
historical7d,500ms,1,same_engine_timing_shift,1,-11.136714974818858,-11.95259152975374,-0.8158765549348814,1
historical7d,500ms,2,exact_same_action,8,-13.57863832016645,-13.57863832016645,0,8
historical7d,500ms,3,exact_same_action,16,34.319933705000814,34.319933705000814,0,16
historical7d,500ms,4,exact_same_action,17,185.11230305726303,185.21298930723486,0.1006862499718082,17
historical7d,500ms,4,simultaneous_substitution,1,27.703047904946487,24.41264757907023,-3.2904003258762557,1
recent24h,1s,0,candidate_d_unmatched,1,-11.718482354177581,0,0,0
recent24h,1s,0,exact_same_action,31,-94.79117591946967,-91.36541861237004,3.4257573070996186,31
recent24h,1s,0,nearby_replacement,1,-14.363277281249898,-5.293075945662696,9.070201335587203,1
recent24h,1s,0,router_unmatched,3,0,-32.52341499686656,0,0
recent24h,1s,0,simultaneous_substitution,1,-15.03659062500142,-15.03659062500142,0,1
recent24h,500ms,0,candidate_d_unmatched,2,-20.672214770286907,0,0,0
recent24h,500ms,0,exact_same_action,37,-202.60107697671637,-206.2685248323965,-3.6674478556801717,37
recent24h,500ms,0,router_unmatched,1,0,-4.362127304521711,0,0
