window,interval,pair_type,count,candidate_d_pnl_sum,router_pnl_sum,paired_delta_sum,paired_delta_count
historical7d,1s,candidate_d_unmatched,2,6.487028851113212,0,0,0
historical7d,1s,exact_same_action,144,129.57212112777614,136.88934489425932,7.317223766483211,144
historical7d,1s,nearby_replacement,1,28.325021692703444,-22.463056635563404,-50.78807832826685,1
historical7d,1s,router_unmatched,2,0,7.134821909359701,0,0
historical7d,1s,same_engine_timing_shift,5,145.45744608647814,122.33938955606969,-23.11805653040843,5
historical7d,1s,simultaneous_substitution,4,14.756223806370365,14.555684658863001,-0.20053914750736013,4
historical7d,500ms,candidate_d_unmatched,4,148.8474649946487,0,0,0
historical7d,500ms,exact_same_action,153,746.4998385259981,667.3365160422471,-79.1633224837509,153
historical7d,500ms,router_unmatched,4,0,-74.81334624449929,0,0
historical7d,500ms,same_engine_timing_shift,4,67.73429423787904,15.859053121054906,-51.875241116824135,4
historical7d,500ms,simultaneous_substitution,2,11.418428498039308,8.128028172163052,-3.2904003258762557,2
recent24h,1s,candidate_d_unmatched,1,-11.718482354177581,0,0,0
recent24h,1s,exact_same_action,31,-94.79117591946967,-91.36541861237004,3.4257573070996186,31
recent24h,1s,nearby_replacement,1,-14.363277281249898,-5.293075945662696,9.070201335587203,1
recent24h,1s,router_unmatched,3,0,-32.52341499686656,0,0
recent24h,1s,simultaneous_substitution,1,-15.03659062500142,-15.03659062500142,0,1
recent24h,500ms,candidate_d_unmatched,2,-20.672214770286907,0,0,0
recent24h,500ms,exact_same_action,37,-202.60107697671637,-206.2685248323965,-3.6674478556801717,37
recent24h,500ms,router_unmatched,1,0,-4.362127304521711,0,0
