window,interval,segment_id,pair_type,entry_delta_sec,candidate_d_engine,candidate_d_side,candidate_d_entry_ts,candidate_d_exit_ts,candidate_d_exit_reason,candidate_d_pnl_inr,candidate_d_mfe_usd,candidate_d_mae_usd,router_engine,router_side,router_entry_ts,router_exit_ts,router_exit_reason,router_pnl_inr,router_mfe_usd,router_mae_usd,paired_pnl_delta_router_minus_d
historical7d,500ms,0,exact_same_action,0.0,BURST,BUY,1789573152.468,1789573195.315,momentum_zero_cross,3.000000000000682,1.4400000000005093,-0.3000000000001819,BURST,BUY,1789573152.468,1789573195.315,momentum_zero_cross,3.000000000000682,1.4400000000005093,-0.3000000000001819,0.0
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,BUY,1789573826.844,1789573965.96,emergency_stop,-15.504974999998787,0.0,-4.109999999999673,PRIMARY,BUY,1789573826.844,1789573965.96,emergency_stop,-15.504974999998787,0.0,-4.109999999999673,0.0
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,BUY,1789574424.972,1789574554.4499998,emergency_stop,-14.844223511248194,0.17000000000007276,-4.059999999999491,PRIMARY,BUY,1789574424.972,1789574554.4499998,emergency_stop,-14.844223511248194,0.17000000000007276,-4.059999999999491,0.0
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,BUY,1789575064.3500001,1789575964.473,max_hold,10.705540653721817,9.399999999999636,-1.4200000000000728,PRIMARY,BUY,1789575064.3500001,1789575964.473,max_hold,10.705540653721817,9.399999999999636,-1.4200000000000728,0.0
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,SELL,1789576948.978,1789577221.412,momentum_zero_cross,-8.954176238190282,2.3400000000001455,-2.600000000000364,PRIMARY,SELL,1789576948.978,1789577221.412,momentum_zero_cross,-8.954176238190282,2.3400000000001455,-2.600000000000364,0.0
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,SELL,1789577693.868,1789578593.993,max_hold,31.48844376189823,13.800000000000182,-1.2200000000002547,PRIMARY,SELL,1789577693.868,1789578593.993,max_hold,31.48844376189823,13.800000000000182,-1.2200000000002547,0.0
historical7d,500ms,0,exact_same_action,0.0,MICRO,BUY,1789578618.875,1789578804.99,trail,19.97635544919466,6.520000000000437,-0.11999999999989086,MICRO,BUY,1789578618.875,1789578804.99,trail,19.97635544919466,6.520000000000437,-0.11999999999989086,0.0
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,SELL,1789579129.2659998,1789579778.929,emergency_stop,-15.933769042995813,3.130000000000109,-4.039999999999964,PRIMARY,SELL,1789579129.2659998,1789579778.929,emergency_stop,-15.933769042995813,3.130000000000109,-4.039999999999964,0.0
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,BUY,1789580254.921,1789581155.4060001,max_hold,46.39117251268539,14.489999999999782,-0.6000000000003638,PRIMARY,BUY,1789580254.921,1789581155.4060001,max_hold,46.39117251268539,14.489999999999782,-0.6000000000003638,0.0
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,BUY,1789581649.428,1789581743.4540002,emergency_stop,-17.148698661633343,1.949999999999818,-4.109999999999673,PRIMARY,BUY,1789581649.428,1789581743.4540002,emergency_stop,-17.148698661633343,1.949999999999818,-4.109999999999673,0.0
historical7d,500ms,0,exact_same_action,0.0,SECONDARY,BUY,1789582071.959,1789582518.9580002,emergency_stop,-16.90315725210084,1.9099999999998545,-4.180000000000291,SECONDARY,BUY,1789582071.959,1789582518.9580002,emergency_stop,-16.90315725210084,1.9099999999998545,-4.180000000000291,0.0
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,SELL,1789583356.9459999,1789583760.496,emergency_stop,-16.255731956893825,2.0100000000002183,-4.149999999999636,PRIMARY,SELL,1789583356.9459999,1789583760.496,emergency_stop,-16.255731956893825,2.0100000000002183,-4.149999999999636,0.0
