interval,window_id,source,start_ts,end_ts,candidate_d_pnl,router_v2_pnl,candidate_d_trades,router_v2_trades,candidate_d_wins,router_v2_wins,router_hold_decisions,router_routed_entries
500ms,0,historical7d,1789650668.4940002,1789665067.4540002,124.6105289670998,69.97339412797888,17,17,9,8,7,18
500ms,1,recent24h,1790203993.42,1790218393.093,0.0,0.0,0,0,0,0,0,0
500ms,2,historical7d,1789952400.692,1789772399.9699998,0.0,0.0,0,0,0,0,0,0
500ms,3,recent24h,1790220426.496,1790234822.499,0.022875000000396994,0.022875000000396994,2,2,1,1,0,2
500ms,4,historical7d,1789952400.692,1789772399.9699998,0.0,0.0,0,0,0,0,0,0
500ms,5,recent24h,1790213448.253,1790227846.125,0.0,0.0,0,0,0,0,0,0
500ms,6,historical7d,1789658036.962,1789672436.416,-3.9007000674615124,-3.9007000674615124,17,17,8,8,0,18
500ms,7,recent24h,1790256791.8419998,1790271190.8009999,-107.6376946199137,-107.6376946199137,12,12,1,1,0,12
500ms,8,historical7d,1789952400.692,1789772399.9699998,0.0,0.0,0,0,0,0,0,0
500ms,9,recent24h,1790190669.999,1790204399.997,-21.429894766519965,-21.429894766519965,7,7,2,2,0,7
500ms,10,historical7d,1789952400.692,1789772399.9699998,0.0,0.0,0,0,0,0,0,0
500ms,11,recent24h,1790211600.499,1790222997.616,0.0,0.0,0,0,0,0,0,0
500ms,12,historical7d,1789712163.135,1789726562.912,54.7082239204334,54.7082239204334,6,6,4,4,0,6
500ms,13,recent24h,1790211600.499,1790219347.856,0.0,0.0,0,0,0,0,0,0
500ms,14,historical7d,1789666590.4129999,1789680989.593,-13.271737619021337,-13.271737619021337,4,4,2,2,0,4
500ms,15,recent24h,1790194684.461,1790204399.997,24.518341440816585,24.518341440816585,4,4,2,2,0,4
500ms,16,historical7d,1790002645.431,1790017043.924,41.84107595910791,41.84107595910791,14,14,7,7,0,14
500ms,17,recent24h,1790235942.579,1790250341.879,-55.44324332528282,-55.44324332528282,7,7,0,0,0,7
500ms,18,historical7d,1789598754.993,1789613154.582,-15.44999999999959,-15.44999999999959,1,1,0,0,0,1
500ms,19,recent24h,1790240387.915,1790254787.4659998,-79.13333395536898,-79.13333395536898,9,9,0,0,0,9
500ms,20,historical7d,1789952400.692,1789772399.9699998,0.0,0.0,0,0,0,0,0,0
500ms,21,recent24h,1790258460.923,1790272860.4910002,-103.8116017559586,-103.8116017559586,12,12,1,1,0,13
500ms,22,historical7d,1789960303.924,1789974703.156,-9.96286668651669,-9.96286668651669,4,4,1,1,0,4
500ms,23,recent24h,1790241205.393,1790255604.641,-79.13333395536898,-79.13333395536898,9,9,0,0,0,9
500ms,24,historical7d,1789745984.452,1789760383.936,18.90412379629754,18.90412379629754,12,12,7,7,0,12
500ms,25,recent24h,1790223770.311,1790238167.536,0.022875000000396994,0.022875000000396994,2,2,1,1,0,2
500ms,26,historical7d,1790038800.588,1790048355.7779999,0.0,0.0,0,0,0,0,0,0
500ms,27,recent24h,1790193533.9299998,1790204399.997,-21.985237986705783,-21.985237986705783,7,7,2,2,0,7
500ms,28,historical7d,1789952400.692,1789772399.9699998,0.0,0.0,0,0,0,0,0,0
500ms,29,recent24h,1790247046.825,1790261446.337,-113.60213684649085,-95.94901994716139,12,11,0,0,1,11
500ms,30,historical7d,1789952400.692,1789772399.9699998,0.0,0.0,0,0,0,0,0,0
