grid,scenario_band,candidate_median_pnl_inr,proxy_median_pnl_inr,candidate_profitable_share,proxy_profitable_share,candidate_median_win_rate,proxy_median_win_rate,proxy_median_retention
500ms,uniform_0_100_recent_mix,-68.665489,-70.597394,0.3526,0.3404,0.300000,0.307692,0.975
1s,uniform_0_100_recent_mix,-58.962843,-58.971567,0.3306,0.3091,0.350000,0.351351,0.975
500ms,0_25_recent_mix,114.448837,93.889583,0.79525,0.77075,0.450000,0.450000,0.975
500ms,25_50_recent_mix,-12.942376,-18.795054,0.45825,0.43475,0.350000,0.358974,0.975
500ms,50_75_recent_mix,-115.229823,-112.973035,0.12625,0.12450,0.275000,0.270270,0.975
500ms,75_100_recent_mix,-194.276595,-186.863280,0.01000,0.01000,0.175000,0.175000,0.975
1s,0_25_recent_mix,38.845664,18.371373,0.61550,0.56575,0.425000,0.432432,0.975
1s,25_50_recent_mix,-31.093658,-36.331312,0.38675,0.36100,0.375000,0.375000,0.975
1s,50_75_recent_mix,-84.849678,-81.586208,0.19475,0.18300,0.325000,0.325000,0.975
1s,75_100_recent_mix,-131.743802,-121.401771,0.05950,0.06950,0.275000,0.275000,0.975
