window,feature,trades,finite,coverage,median,q25,q75
historical7d,range60_rel,319,319,1.0,1.578947368421218,1.0675099063316331,2.150274088130228
historical7d,spread_rel,319,319,1.0,0.8,0.6222222222222896,0.9059551886781184
historical7d,activity_rel,319,319,1.0,1.1111111111111112,0.9344086021505376,1.4906358885017421
historical7d,er60,319,319,1.0,0.11023622047234706,0.07810775619723556,0.14696541033406385
historical7d,spread_to_range,319,319,1.0,0.06047516198699649,0.045521944750123326,0.0935483870970723
historical7d,dir_m10_rel,319,319,1.0,2.5759999999971828,1.1241463529194133,4.431804618279774
historical7d,dir_m30_rel,319,319,1.0,2.430894308942296,1.3265993265983655,3.9609181141442296
historical7d,dir_m60_rel,319,319,1.0,2.5286506469510646,1.583698650051391,3.7879417879409987
historical7d,dir_m300_rel,319,309,0.9686520376175548,1.816849816849384,1.0959641255604995,2.9307958477493843
historical7d,dir_eff60,319,319,1.0,0.11023622047234706,0.07810775619723556,0.14696541033406385
historical7d,flow_align10,319,319,1.0,0.09565217391304348,0.031126896997093964,0.21052631578947367
historical7d,flow_align60,319,319,1.0,0.036773428232502965,-0.012891165882027138,0.09503982932746072
historical7d,accel_10_60,319,319,1.0,-0.06802082663645725,-1.2806829674580067,1.5212512355386276
historical7d,accel_30_300,319,309,0.9686520376175548,0.3770631056304481,-1.2675466079128717,2.1087255291208247
historical7d,short_long_balance,319,309,0.9686520376175548,0.15358310205982728,-0.7776844941954227,1.4825028214311269
historical7d,pullback60,319,319,1.0,0.02264600715121615,0.00046816479401769694,0.07791854472951426
historical7d,pullback300,319,319,1.0,0.02642444260953861,0.004720894740571398,0.08664578516906798
historical7d,market_heat,319,319,1.0,1.7709864603481624,1.030674713120426,3.0224347179616258
historical7d,execution_heat,319,319,1.0,0.8712251603807993,0.6246463421532185,1.2509407919588336
historical7d,session_age_sec,319,319,1.0,6207.22000002861,2340.7910001277924,14737.46850001812
recent24h,range60_rel,71,71,1.0,1.614890885751383,1.2123685080895938,2.1210138759216792
recent24h,spread_rel,71,71,1.0,0.8529411764701161,0.7690476190460835,0.904737903225168
recent24h,activity_rel,71,71,1.0,1.2191780821917808,1.0045045045045045,1.5351232876712329
recent24h,er60,71,71,1.0,0.11681957186551424,0.07978839862347564,0.1519230402798254
recent24h,spread_to_range,71,71,1.0,0.08585055643891863,0.054348928642338964,0.11266551071862224
recent24h,dir_m10_rel,71,71,1.0,3.2909090909158256,1.8871794871771719,5.788151137190344
recent24h,dir_m30_rel,71,71,1.0,2.70078740157217,1.73014298702366,4.235725876446871
recent24h,dir_m60_rel,71,71,1.0,2.8724832214773706,1.7201405951404058,4.0949868073865545
recent24h,dir_m300_rel,71,68,0.9577464788732394,2.086487021293363,1.536491677336848,2.868763027284626
recent24h,dir_eff60,71,71,1.0,0.11681957186551424,0.07978839862347564,0.1519230402798254
recent24h,flow_align10,71,71,1.0,0.125,0.029304029304029304,0.25
recent24h,flow_align60,71,71,1.0,0.05565529622980251,0.004268222343072791,0.10298639620059567
recent24h,accel_10_60,71,71,1.0,-0.05350140056222186,-1.2081446650457877,1.821097108696819
recent24h,accel_30_300,71,68,0.9577464788732394,0.5107706351421939,-1.0724355542464812,1.9291536639300735
recent24h,short_long_balance,71,68,0.9577464788732394,0.40627659273434436,-1.1599726455727746,1.9547622839349676
recent24h,pullback60,71,71,1.0,0.013392857142744762,0.0028429282159957445,0.06666666666664217
recent24h,pullback300,71,71,1.0,0.013761467889930584,0.002016069664317158,0.05746577487476935
recent24h,market_heat,71,71,1.0,1.9033111545997081,1.3833481817796167,2.911915992039432
recent24h,execution_heat,71,71,1.0,0.9405088062608279,0.7746593869724714,1.2352941176485275
recent24h,session_age_sec,71,71,1.0,5111.97200012207,3382.977000117302,6403.406999945641
