label,interval,fold,trades,actual_pnl_inr,actual_win_rate,prediction_mean_inr,pearson,spearman,sign_accuracy,mae_inr,rmse_inr,mean_baseline_mae_inr,mean_baseline_rmse_inr,predicted_positive_trades,predicted_positive_retention,predicted_positive_actual_pnl_inr,predicted_positive_win_rate,predicted_nonpositive_actual_pnl_inr,v2_score_spearman,v2_positive_trades,v2_positive_retention,v2_positive_actual_pnl_inr,v2_positive_win_rate
historical_walkforward,500ms,test_segment_1,36,54.224999999990764,0.4444444444444444,-1.1669924250559611,-0.013655854280115573,-0.051480051480051484,0.5,13.784289532706397,16.59704131937781,11.376278735632095,13.865001107139866,18,0.5,33.712499999998336,0.4444444444444444,20.51249999999243,-0.12380952380952381,35,0.9722222222222222,64.46249999998913,0.45714285714285713
historical_walkforward,500ms,test_segment_2,12,-40.31249999999659,0.25,-0.31468922586820075,-0.1302504102212127,-0.18181818181818185,0.5,9.479942650085002,11.090250701985523,8.322876381215563,9.618328183629092,7,0.5833333333333334,-27.974999999993315,0.2857142857142857,-12.337500000003274,0.31468531468531474,12,1.0,-40.31249999999659,0.25
historical_walkforward,500ms,test_segment_3,19,41.07187499999441,0.42105263157894735,-0.2937061181523012,0.02799900241932556,-0.19569988720292905,0.3684210526315789,17.42822147379327,25.665253745288787,14.900950197709395,24.63563943954832,12,0.631578947368421,66.34687499999018,0.3333333333333333,-25.27499999999577,-0.4265028931866526,19,1.0,41.07187499999441,0.42105263157894735
historical_walkforward,500ms,test_segment_4,22,212.43750000001313,0.7272727272727273,-0.6867026556917518,-0.2728631955949223,-0.21174477696216829,0.45454545454545453,18.65932826994327,22.566914370006547,14.679754502573156,16.749951759193355,10,0.45454545454545453,55.27500000000516,0.7,157.16250000000798,0.461321287408244,22,1.0,212.43750000001313,0.7272727272727273
recent_after_first80,500ms,whole_recent,46,-352.50000000001705,0.13043478260869565,1.8199887249638698,0.13003935984568835,0.018382013197116832,0.41304347826086957,12.705741422380097,14.637805519922418,13.63107058249754,14.863042888192876,31,0.6739130434782609,-212.85000000001446,0.16129032258064516,-139.6500000000026,0.2149708590333965,45,0.9782608695652174,-337.4250000000154,0.13333333333333333
historical_walkforward,1s,test_segment_1,40,26.315625000002292,0.4,-0.8281540542434662,-0.1822386437504712,-0.29992025925391,0.45,14.837795592310414,17.902531384659422,11.824765624999618,14.597638977611927,18,0.45,-8.549999999999038,0.3333333333333333,34.86562500000133,-0.107228294128001,39,0.975,38.35312500000242,0.41025641025641024
historical_walkforward,1s,test_segment_2,12,-60.89999999998895,0.16666666666666666,-1.2487975105784443,-0.31197877133508883,-0.41958041958041964,0.5833333333333334,9.09309757241566,11.825482106958374,8.593999999999502,9.934975158026967,5,0.4166666666666667,-32.09999999999469,0.2,-28.79999999999427,0.0,12,1.0,-60.89999999998895,0.16666666666666666
historical_walkforward,1s,test_segment_3,16,92.09062500000556,0.5,0.7104107738129992,-0.38498967977961057,-0.30882352941176466,0.375,17.492365751229997,28.58457060377572,15.43593436664507,26.590857256482042,6,0.375,-14.746874999997036,0.3333333333333333,106.83750000000259,0.02058823529411765,16,1.0,92.09062500000556,0.5
historical_walkforward,1s,test_segment_4,24,109.25625000001276,0.5833333333333334,0.39610440351238835,-0.3742540346650858,-0.328695652173913,0.3333333333333333,18.320641410017647,20.87993512016465,15.83077663177366,17.83024344098159,14,0.5833333333333334,-7.124999999995225,0.42857142857142855,116.38125000000798,0.25999999999999995,24,1.0,109.25625000001276,0.5833333333333334
recent_after_first80,1s,whole_recent,44,-191.70000000002346,0.25,0.5322107756449591,0.028858538269130065,-0.008248440818876386,0.4318181818181818,12.130949303001755,14.579674486804764,12.533920704846283,14.385547526218822,24,0.5454545454545454,-127.16250000000969,0.20833333333333334,-64.53750000001378,0.16525081435424144,43,0.9772727272727273,-176.62500000002183,0.2558139534883721
