interval,segment_id,candidate_d_pnl_inr,candidate_h_pnl_inr,delta_h_vs_d_inr,candidate_d_trades,candidate_h_trades,candidate_d_wins,candidate_h_wins,candidate_d_max_drawdown_inr,candidate_h_max_drawdown_inr,candidate_h_primary_flow_exits,candidate_h_ghost_releases
500ms,0,696.8428619834062,594.3818321275041,-102.4610298559021,98,98,46,48,218.9381795572965,148.65905483517383,15,15
500ms,1,44.100517926115,47.416322896859924,3.315804970744921,23,23,12,12,35.71970634386099,35.71970634386099,2,2
500ms,2,-13.57863832016642,-10.490436534748028,3.0882017854183914,8,8,3,3,29.53955840072996,29.727099746937654,1,1
500ms,3,34.31993370500095,34.31993370500095,0.0,16,16,7,7,45.342126358477344,45.342126358477344,0,0
500ms,4,212.81535096220955,212.81535096220955,0.0,18,18,13,13,22.50067024906457,22.50067024906457,0,0
1s,0,169.91793307493617,174.47609491734272,4.558161842406548,98,98,42,45,172.14469599809354,170.81692375289958,12,11
1s,1,41.93295235703238,33.59478576044296,-8.338166596589417,21,21,11,11,52.346540357980984,62.08868432560547,2,2
1s,2,-45.95461543615477,-33.484590853137775,12.470024583016993,8,8,1,2,55.95226824865756,47.37520703229245,2,2
1s,3,80.42284290821033,54.11216477309654,-26.31067813511379,11,11,6,6,45.0062855503611,42.966142045258266,1,1
1s,4,78.27872866041719,78.27872866041719,0.0,18,18,11,11,40.75649050493149,40.75649050493149,0,0
