interval,batch,window_id,source,match,candidate_d_entries,candidate_j_shadow_entries
500ms,A,0,historical7d,True,8,8
500ms,A,1,recent24h,True,8,8
500ms,A,2,historical7d,True,12,12
500ms,A,3,recent24h,True,8,8
500ms,A,4,historical7d,True,9,9
500ms,A,5,recent24h,True,8,8
500ms,A,6,historical7d,True,12,12
500ms,A,7,recent24h,True,8,8
500ms,A,8,historical7d,True,26,26
500ms,A,9,recent24h,True,8,8
500ms,A,10,historical7d,True,12,12
500ms,A,11,recent24h,True,8,8
500ms,A,12,historical7d,True,24,24
500ms,A,13,recent24h,True,8,8
500ms,A,14,historical7d,True,7,7
500ms,A,15,recent24h,True,8,8
500ms,A,16,historical7d,True,18,18
500ms,A,17,recent24h,True,8,8
500ms,A,18,historical7d,True,15,15
500ms,A,19,recent24h,True,8,8
500ms,A,20,historical7d,True,15,15
500ms,A,21,recent24h,True,8,8
500ms,A,22,historical7d,True,12,12
500ms,A,23,recent24h,True,8,8
500ms,A,24,historical7d,True,18,18
500ms,A,25,recent24h,True,8,8
500ms,A,26,historical7d,True,14,14
500ms,A,27,recent24h,True,8,8
500ms,A,28,historical7d,True,7,7
500ms,A,29,recent24h,True,8,8
500ms,A,30,historical7d,True,15,15
500ms,A,31,recent24h,True,8,8
500ms,A,32,historical7d,True,7,7
500ms,A,33,recent24h,True,8,8
500ms,A,34,historical7d,True,25,25
500ms,A,35,recent24h,True,8,8
500ms,A,36,historical7d,True,15,15
500ms,A,37,recent24h,True,8,8
500ms,A,38,historical7d,True,7,7
500ms,A,39,recent24h,True,8,8
500ms,B,0,historical7d,True,13,13
500ms,B,1,recent24h,True,8,8
500ms,B,2,historical7d,True,12,12
500ms,B,3,recent24h,True,8,8
500ms,B,4,historical7d,True,12,12
500ms,B,5,recent24h,True,8,8
500ms,B,6,historical7d,True,15,15
500ms,B,7,recent24h,True,8,8
500ms,B,8,historical7d,True,13,13
500ms,B,9,recent24h,True,8,8
500ms,B,10,historical7d,True,19,19
500ms,B,11,recent24h,True,8,8
500ms,B,12,historical7d,True,12,12
500ms,B,13,recent24h,True,8,8
500ms,B,14,historical7d,True,20,20
500ms,B,15,recent24h,True,8,8
500ms,B,16,historical7d,True,12,12
500ms,B,17,recent24h,True,8,8
500ms,B,18,historical7d,True,7,7
500ms,B,19,recent24h,True,8,8
500ms,B,20,historical7d,True,18,18
500ms,B,21,recent24h,True,8,8
500ms,B,22,historical7d,True,20,20
500ms,B,23,recent24h,True,8,8
500ms,B,24,historical7d,True,17,17
500ms,B,25,recent24h,True,8,8
500ms,B,26,historical7d,True,10,10
500ms,B,27,recent24h,True,8,8
500ms,B,28,historical7d,True,17,17
500ms,B,29,recent24h,True,8,8
500ms,B,30,historical7d,True,18,18
500ms,B,31,recent24h,True,8,8
500ms,B,32,historical7d,True,24,24
500ms,B,33,recent24h,True,8,8
500ms,B,34,historical7d,True,15,15
500ms,B,35,recent24h,True,8,8
500ms,B,36,historical7d,True,19,19
500ms,B,37,recent24h,True,8,8
500ms,B,38,historical7d,True,7,7
500ms,B,39,recent24h,True,8,8
500ms,C,0,historical7d,True,7,7
500ms,C,1,recent24h,True,8,8
500ms,C,2,historical7d,True,6,6
500ms,C,3,recent24h,True,8,8
500ms,C,4,historical7d,True,13,13
500ms,C,5,recent24h,True,8,8
500ms,C,6,historical7d,True,23,23
500ms,C,7,recent24h,True,8,8
500ms,C,8,historical7d,True,14,14
500ms,C,9,recent24h,True,8,8
500ms,C,10,historical7d,True,10,10
500ms,C,11,recent24h,True,8,8
500ms,C,12,historical7d,True,14,14
500ms,C,13,recent24h,True,8,8
500ms,C,14,historical7d,True,12,12
500ms,C,15,recent24h,True,8,8
500ms,C,16,historical7d,True,17,17
500ms,C,17,recent24h,True,8,8
500ms,C,18,historical7d,True,17,17
500ms,C,19,recent24h,True,8,8
500ms,C,20,historical7d,True,12,12
500ms,C,21,recent24h,True,8,8
500ms,C,22,historical7d,True,17,17
500ms,C,23,recent24h,True,8,8
500ms,C,24,historical7d,True,7,7
500ms,C,25,recent24h,True,8,8
500ms,C,26,historical7d,True,6,6
500ms,C,27,recent24h,True,8,8
500ms,C,28,historical7d,True,14,14
500ms,C,29,recent24h,True,8,8
500ms,C,30,historical7d,True,12,12
500ms,C,31,recent24h,True,8,8
500ms,C,32,historical7d,True,19,19
500ms,C,33,recent24h,True,8,8
500ms,C,34,historical7d,True,16,16
500ms,C,35,recent24h,True,8,8
500ms,C,36,historical7d,True,25,25
500ms,C,37,recent24h,True,8,8
500ms,C,38,historical7d,True,12,12
500ms,C,39,recent24h,True,8,8
1s,A,0,historical7d,True,14,14
1s,A,1,recent24h,True,8,8
1s,A,2,historical7d,True,9,9
1s,A,3,recent24h,True,8,8
1s,A,4,historical7d,True,15,15
1s,A,5,recent24h,True,8,8
1s,A,6,historical7d,True,9,9
1s,A,7,recent24h,True,8,8
1s,A,8,historical7d,True,16,16
1s,A,9,recent24h,True,8,8
1s,A,10,historical7d,True,25,25
1s,A,11,recent24h,True,8,8
1s,A,12,historical7d,True,7,7
1s,A,13,recent24h,True,8,8
1s,A,14,historical7d,True,14,14
1s,A,15,recent24h,True,8,8
1s,A,16,historical7d,True,15,15
1s,A,17,recent24h,True,8,8
1s,A,18,historical7d,True,13,13
1s,A,19,recent24h,True,8,8
1s,A,20,historical7d,True,18,18
1s,A,21,recent24h,True,8,8
1s,A,22,historical7d,True,16,16
1s,A,23,recent24h,True,8,8
