interval,batch,seed,candidate,windows,mean_pnl_inr,median_pnl_inr,p05_pnl_inr,p95_pnl_inr,positive_window_fraction,total_trades,total_wins,aggregate_win_rate,J_beats_D_fraction,J_beats_H_fraction
500ms,A,20261001,D,40,-2.5900546995999276,-27.100950513536418,-80.46184986965078,129.27844138941987,0.35,434,145,0.33410138248847926,,
500ms,A,20261001,H,40,-7.7819877277947445,-27.100950513536418,-80.46184986965078,64.91853309384464,0.35,436,147,0.33715596330275227,,
500ms,A,20261001,J,40,0.9655510791161532,-19.41822854340984,-71.1769325236891,88.85435549452191,0.35,377,125,0.33156498673740054,0.925,0.825
500ms,B,20261013,D,40,3.19978017340229,-27.100950513536418,-27.100950513536418,158.97001238375535,0.35,455,152,0.33406593406593404,,
500ms,B,20261013,H,40,0.020614029901586405,-27.100950513536418,-27.100950513536418,82.05451999072004,0.375,456,157,0.3442982456140351,,
500ms,B,20261013,J,40,8.126305381677785,-19.41822854340984,-19.41822854340984,108.18576776382957,0.375,390,128,0.3282051282051282,0.9,0.8
500ms,C,20261027,D,40,-3.173253756629141,-27.100950513536418,-27.100950513536418,101.53880455421191,0.3,428,154,0.3598130841121495,,
500ms,C,20261027,H,40,-4.754042740895455,-19.93354518697896,-27.100950513536418,36.148630780478,0.35,428,156,0.3644859813084112,,
500ms,C,20261027,J,40,3.916582403891917,-16.23358314747506,-19.41822854340984,59.98639207125661,0.375,369,132,0.35772357723577236,0.95,0.825
1s,A,20261002,D,40,-8.750242644763498,-27.861680295516123,-28.090961993161002,43.252135613179824,0.325,438,152,0.3470319634703196,,
1s,A,20261002,H,40,-6.381782148025179,-24.66576873116373,-27.861680295516123,46.74084072920471,0.3,438,158,0.3607305936073059,,
1s,A,20261002,J,40,0.5393072603454971,-12.958201253885306,-21.258211977770486,48.64813710338395,0.325,389,146,0.37532133676092544,0.85,0.65
1s,B,20261014,D,40,-10.653838249730963,-27.861680295516123,-31.773199259989607,38.26518583881321,0.25,432,151,0.34953703703703703,,
1s,B,20261014,H,40,-8.467644125973536,-27.861680295516123,-27.861680295516123,58.86114106800788,0.25,432,156,0.3611111111111111,,
1s,B,20261014,J,40,-2.8500536623267996,-12.958201253885306,-26.938709907449837,28.54975285704465,0.3,387,146,0.3772609819121447,0.925,0.65
1s,C,20261028,D,40,-5.147572620811587,-27.861680295516123,-30.84989938139462,65.73814173442224,0.325,433,153,0.3533487297921478,,
1s,C,20261028,H,40,-2.7081021197401163,-27.216346057473714,-27.861680295516123,84.37359781540796,0.325,433,159,0.3672055427251732,,
1s,C,20261028,J,40,1.8323602989309684,-12.958201253885306,-27.29863248753481,54.1466396816503,0.35,379,145,0.38258575197889183,0.85,0.625
