interval,batch,seed,window_id,source,source_range_id,start_ts,end_ts,D_pnl,H_pnl,J_pnl,D_trades,H_trades,J_trades,D_wins,H_wins,J_wins,J_delayed_entries,J_skipped_entries,J_phase_exits
500ms,A,20261001,0,historical7d,335,1789752675.985,1789767075.442,29.0799383599699,32.30420636144504,30.75314935090546,8,8,8,5,5,5,1,0,2
500ms,A,20261001,1,recent24h,0,1790189973.9689999,1790204372.865,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,A,20261001,2,historical7d,0,1789578531.9299998,1789592931.4499998,-90.0176107235144,-90.0176107235144,-82.02022063807186,12,12,11,2,2,2,1,1,0
500ms,A,20261001,3,recent24h,0,1790189954.2849998,1790204353.4499998,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,A,20261001,4,historical7d,335,1789753895.963,1789768295.345,31.985618185178623,35.22759370078131,33.66801836486866,9,9,9,6,6,6,1,0,2
500ms,A,20261001,5,recent24h,0,1790189959.451,1790204358.595,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,A,20261001,6,historical7d,0,1789578321.381,1789592720.96,-79.95891508786849,-79.95891508786849,-71.01456884835756,12,12,11,2,2,2,0,1,0
500ms,A,20261001,7,recent24h,0,1790189954.2849998,1790204353.992,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,A,20261001,8,historical7d,0,1789584111.3569999,1789598510.42,127.89873720517261,53.82231034054055,79.31687243046011,25,25,23,7,7,7,2,2,2
500ms,A,20261001,9,recent24h,0,1790189995.446,1790204394.948,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,A,20261001,10,historical7d,335,1789747873.849,1789762273.328,-17.40750418860557,-14.466535482024085,-0.36772728796023557,12,12,11,6,6,6,1,1,2
500ms,A,20261001,11,recent24h,0,1790189963.947,1790204363.402,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,A,20261001,12,historical7d,0,1789584702.412,1789599102.1660001,178.57011774856852,64.307102048817,90.28431925792415,23,24,22,7,7,7,2,2,3
500ms,A,20261001,13,recent24h,0,1790189956.792,1790204356.3,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,A,20261001,14,historical7d,335,1789754857.488,1789769257.066,27.544937782547095,30.759851331348614,29.213294346673138,7,7,7,4,4,4,1,0,2
500ms,A,20261001,15,recent24h,0,1790189994.9,1790204394.442,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,A,20261001,16,historical7d,136,1789655713.906,1789670113.468,48.71119789176316,76.53572294937055,75.15535010910594,18,18,17,8,9,8,0,1,1
