interval,segment_id,D_pnl_inr,H_pnl_inr,GC-entry_pnl_inr,GC-exit_pnl_inr,I_pnl_inr,D_trades,H_trades,GC-entry_trades,GC-exit_trades,I_trades,D_wins,H_wins,GC-entry_wins,GC-exit_wins,I_wins,D_entry_skips,H_entry_skips,GC-entry_entry_skips,GC-exit_entry_skips,I_entry_skips,D_flow_exits,H_flow_exits,GC-entry_flow_exits,GC-exit_flow_exits,I_flow_exits
500ms,0,696.8428619834062,594.3818321275041,696.8428619834062,696.8428619834062,696.8428619834062,98,98,98,98,98,46,48,46,46,46,0,0,0,0,0,0,15,0,0,0
500ms,1,44.100517926115,47.416322896859924,44.100517926115,44.100517926115,44.100517926115,23,23,23,23,23,12,12,12,12,12,0,0,0,0,0,0,2,0,0,0
500ms,2,-13.57863832016642,-10.490436534748028,-13.57863832016642,-13.57863832016642,-13.57863832016642,8,8,8,8,8,3,3,3,3,3,0,0,0,0,0,0,1,0,0,0
500ms,3,34.31993370500095,34.31993370500095,34.31993370500095,34.31993370500095,34.31993370500095,16,16,16,16,16,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0
500ms,4,212.81535096220955,212.81535096220955,212.81535096220955,212.81535096220955,212.81535096220955,18,18,18,18,18,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0
1s,0,169.91793307493617,174.47609491734272,169.91793307493617,169.91793307493617,169.91793307493617,98,98,98,98,98,42,45,42,42,42,0,0,0,0,0,0,12,0,0,0
1s,1,41.93295235703238,33.59478576044296,41.93295235703238,41.93295235703238,41.93295235703238,21,21,21,21,21,11,11,11,11,11,0,0,0,0,0,0,2,0,0,0
1s,2,-45.95461543615477,-33.484590853137775,-45.95461543615477,-45.95461543615477,-45.95461543615477,8,8,8,8,8,1,2,1,1,1,0,0,0,0,0,0,2,0,0,0
1s,3,80.42284290821033,54.11216477309654,80.42284290821033,80.42284290821033,80.42284290821033,11,11,11,11,11,6,6,6,6,6,0,0,0,0,0,0,1,0,0,0
1s,4,78.27872866041719,78.27872866041719,78.27872866041719,78.27872866041719,78.27872866041719,18,18,18,18,18,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
