window,interval,segment_id,variant,match
historical7d,500ms,0,H,True
historical7d,500ms,0,GC-entry,True
historical7d,500ms,0,GC-exit,True
historical7d,500ms,0,I,True
historical7d,500ms,1,H,True
historical7d,500ms,1,GC-entry,True
historical7d,500ms,1,GC-exit,True
historical7d,500ms,1,I,True
historical7d,500ms,2,H,True
historical7d,500ms,2,GC-entry,True
historical7d,500ms,2,GC-exit,True
historical7d,500ms,2,I,True
historical7d,500ms,3,H,True
historical7d,500ms,3,GC-entry,True
historical7d,500ms,3,GC-exit,True
historical7d,500ms,3,I,True
historical7d,500ms,4,H,True
historical7d,500ms,4,GC-entry,True
historical7d,500ms,4,GC-exit,True
historical7d,500ms,4,I,True
recent24h,500ms,-1,H,True
recent24h,500ms,-1,GC-entry,True
recent24h,500ms,-1,GC-exit,True
recent24h,500ms,-1,I,True
historical7d,1s,0,H,True
historical7d,1s,0,GC-entry,True
historical7d,1s,0,GC-exit,True
historical7d,1s,0,I,True
historical7d,1s,1,H,True
historical7d,1s,1,GC-entry,True
historical7d,1s,1,GC-exit,True
historical7d,1s,1,I,True
historical7d,1s,2,H,True
historical7d,1s,2,GC-entry,True
historical7d,1s,2,GC-exit,True
historical7d,1s,2,I,True
historical7d,1s,3,H,True
historical7d,1s,3,GC-entry,True
historical7d,1s,3,GC-exit,True
historical7d,1s,3,I,True
historical7d,1s,4,H,True
historical7d,1s,4,GC-entry,True
historical7d,1s,4,GC-exit,True
historical7d,1s,4,I,True
recent24h,1s,-1,H,True
recent24h,1s,-1,GC-entry,True
recent24h,1s,-1,GC-exit,True
recent24h,1s,-1,I,True
