context,variant,entry_ts,engine,side,gc_bar_start_utc,gc_close,gc_ret5,gc_ret15,gc_ret30,gc_volume,gc_volume_rel_1h,dir_gc_ret5,dir_gc_ret15,dir_gc_ret30,basis_gc_minus_mt5
historical7d:500ms:segment0,GC-entry,1789579129.2659998,PRIMARY,SELL,1789567800.0,4381.7001953125,0.002399205878754529,0.0004109507336604921,2.284473951785378e-05,2643.0,2.2676962676962678,-0.002399205878754529,-0.0004109507336604921,-2.284473951785378e-05,47.33519531250022
historical7d:500ms:segment0,GC-entry,1789594424.963,PRIMARY,SELL,1789583100.0,4363.89990234375,0.0017201247703049205,0.002730621019326685,-0.008011111793614533,1376.0,0.9572173913043478,-0.0017201247703049205,-0.002730621019326685,0.008011111793614533,79.18990234374996
historical7d:500ms:segment0,GC-entry,1789594762.982,SECONDARY,BUY,1789583400.0,4325.39990234375,-0.008861531493908004,-0.008036218460853273,-0.009457173792591613,7157.0,4.266467958271237,-0.008861531493908004,-0.008036218460853273,-0.009457173792591613,38.58990234375051
historical7d:500ms:segment0,GC-entry,1789596896.442,SECONDARY,BUY,1789585500.0,4289.7998046875,-0.005463160841012282,-0.0038621993105616803,-0.009766156025890687,6211.0,1.417874671841114,-0.005463160841012282,-0.0038621993105616803,-0.009766156025890687,37.03980468749978
historical7d:500ms:segment0,GC-entry,1789623087.402,PRIMARY,SELL,1789611900.0,4330.10009765625,0.00032334787928611775,0.0010629183505354498,-0.0017996785400772619,237.0,0.3798076923076923,-0.00032334787928611775,-0.0010629183505354498,0.0017996785400772619,42.05509765624993
historical7d:500ms:segment0,GC-entry,1789661749.9420002,PRIMARY,BUY,1789650600.0,4406.5,-2.2715651734728226e-05,-0.0016552286239242045,0.001271680285450054,847.0,0.6218795888399412,-2.2715651734728226e-05,-0.0016552286239242045,0.001271680285450054,37.56999999999971
historical7d:500ms:segment0,GC-entry,1789663602.473,SECONDARY,BUY,1789652400.0,4398.89990234375,-0.0006817562455179171,-0.0019304368073275154,-0.0017262360887245192,1783.0,1.5161564625850341,-0.0006817562455179171,-0.0019304368073275154,-0.0017262360887245192,34.9649023437496
historical7d:500ms:segment0,GC-entry,1789702326.9910002,PRIMARY,BUY,1789691100.0,4392.5,-0.0005689900580243545,-0.0001820675880373639,0.0017089152549687743,294.0,2.27027027027027,-0.0005689900580243545,-0.0001820675880373639,0.0017089152549687743,34.42499999999927
historical7d:500ms:segment0,I,1789579129.2659998,PRIMARY,SELL,1789567800.0,4381.7001953125,0.002399205878754529,0.0004109507336604921,2.284473951785378e-05,2643.0,2.2676962676962678,-0.002399205878754529,-0.0004109507336604921,-2.284473951785378e-05,47.33519531250022
historical7d:500ms:segment0,I,1789594424.963,PRIMARY,SELL,1789583100.0,4363.89990234375,0.0017201247703049205,0.002730621019326685,-0.008011111793614533,1376.0,0.9572173913043478,-0.0017201247703049205,-0.002730621019326685,0.008011111793614533,79.18990234374996
historical7d:500ms:segment0,I,1789594762.982,SECONDARY,BUY,1789583400.0,4325.39990234375,-0.008861531493908004,-0.008036218460853273,-0.009457173792591613,7157.0,4.266467958271237,-0.008861531493908004,-0.008036218460853273,-0.009457173792591613,38.58990234375051
historical7d:500ms:segment0,I,1789596896.442,SECONDARY,BUY,1789585500.0,4289.7998046875,-0.005463160841012282,-0.0038621993105616803,-0.009766156025890687,6211.0,1.417874671841114,-0.005463160841012282,-0.0038621993105616803,-0.009766156025890687,37.03980468749978
historical7d:500ms:segment0,I,1789623087.402,PRIMARY,SELL,1789611900.0,4330.10009765625,0.00032334787928611775,0.0010629183505354498,-0.0017996785400772619,237.0,0.3798076923076923,-0.00032334787928611775,-0.0010629183505354498,0.0017996785400772619,42.05509765624993
historical7d:500ms:segment0,I,1789661749.9420002,PRIMARY,BUY,1789650600.0,4406.5,-2.2715651734728226e-05,-0.0016552286239242045,0.001271680285450054,847.0,0.6218795888399412,-2.2715651734728226e-05,-0.0016552286239242045,0.001271680285450054,37.56999999999971
historical7d:500ms:segment0,I,1789663602.473,SECONDARY,BUY,1789652400.0,4398.89990234375,-0.0006817562455179171,-0.0019304368073275154,-0.0017262360887245192,1783.0,1.5161564625850341,-0.0006817562455179171,-0.0019304368073275154,-0.0017262360887245192,34.9649023437496
historical7d:500ms:segment0,I,1789702326.9910002,PRIMARY,BUY,1789691100.0,4392.5,-0.0005689900580243545,-0.0001820675880373639,0.0017089152549687743,294.0,2.27027027027027,-0.0005689900580243545,-0.0001820675880373639,0.0017089152549687743,34.42499999999927
historical7d:500ms:segment1,GC-entry,1789754302.941,SECONDARY,SELL,1789743000.0,4396.60009765625,0.000819172162001891,0.0010468329484157957,0.0013428249937057835,1820.0,2.1016166281755195,-0.000819172162001891,-0.0010468329484157957,-0.0013428249937057835,41.23509765625022
historical7d:500ms:segment1,GC-entry,1789757067.9889998,SECONDARY,BUY,1789745700.0,4389.7001953125,-0.0010018221191270271,-0.000592031302876447,0.00029625840758121784,586.0,1.0112165660051768,-0.0010018221191270271,-0.000592031302876447,0.00029625840758121784,34.88519531249949
historical7d:500ms:segment1,I,1789754302.941,SECONDARY,SELL,1789743000.0,4396.60009765625,0.000819172162001891,0.0010468329484157957,0.0013428249937057835,1820.0,2.1016166281755195,-0.000819172162001891,-0.0010468329484157957,-0.0013428249937057835,41.23509765625022
historical7d:500ms:segment1,I,1789757067.9889998,SECONDARY,BUY,1789745700.0,4389.7001953125,-0.0010018221191270271,-0.000592031302876447,0.00029625840758121784,586.0,1.0112165660051768,-0.0010018221191270271,-0.000592031302876447,0.00029625840758121784,34.88519531249949
