context,variant,ghost_kind,ghost_engine,ghost_side,origin_ts,legacy_release_ts,ghost_duration_sec,legacy_exit_reason,legacy_exit_move_usd
historical7d:500ms:segment0,H,post_real_exit,1,BUY,1789575449.467,1789575964.473,515.0060000419617,7,3.0200000000004366
historical7d:500ms:segment0,H,post_real_exit,1,SELL,1789578568.9190001,1789578593.993,25.073999881744385,7,8.850000000000364
historical7d:500ms:segment0,H,post_real_exit,1,SELL,1789593249.4550002,1789593933.999,684.5439999103546,7,14.75
historical7d:500ms:segment0,H,post_real_exit,1,SELL,1789596467.447,1789596617.4259999,149.97899985313416,2,25.090000000000146
historical7d:500ms:segment0,H,post_real_exit,1,BUY,1789598705.334,1789599370.496,665.1619999408722,7,6.149999999999636
historical7d:500ms:segment0,H,post_real_exit,1,SELL,1789623737.9859998,1789623987.642,249.6560001373291,7,2.2899999999999636
historical7d:500ms:segment0,H,post_real_exit,1,BUY,1789640389.978,1789640406.004,16.026000022888184,5,7.680000000000291
historical7d:500ms:segment0,H,post_real_exit,1,BUY,1789641340.964,1789641765.276,424.3120000362396,7,2.1400000000003274
historical7d:500ms:segment0,H,post_real_exit,1,BUY,1789657166.99,1789657721.4380002,554.4480001926422,7,9.6899999999996
historical7d:500ms:segment0,H,post_real_exit,1,BUY,1789658685.481,1789659125.299,439.8180000782013,7,11.509999999999309
historical7d:500ms:segment0,H,post_real_exit,1,BUY,1789662215.485,1789662495.4540002,279.96900033950806,1,-4.0900000000001455
historical7d:500ms:segment0,H,post_real_exit,1,BUY,1789665094.9390001,1789665122.47,27.530999898910522,1,-4.280000000000655
historical7d:500ms:segment0,H,post_real_exit,1,SELL,1789707266.825,1789707481.849,215.0239999294281,7,-0.75
historical7d:500ms:segment0,H,post_real_exit,1,SELL,1789712841.82,1789713111.404,269.5840001106262,7,-0.4099999999998545
historical7d:500ms:segment0,H,post_real_exit,1,BUY,1789722217.8990002,1789722322.498,104.59899973869324,5,5.4299999999993815
historical7d:500ms:segment0,GC-entry,admission_skip,1,SELL,1789579129.2659998,1789579778.929,649.6630001068115,1,-4.039999999999964
historical7d:500ms:segment0,GC-entry,admission_skip,1,SELL,1789594424.963,1789594435.471,10.507999897003174,1,-4.589999999999236
historical7d:500ms:segment0,GC-entry,admission_skip,2,BUY,1789594762.982,1789594922.468,159.48599982261658,2,8.520000000000437
historical7d:500ms:segment0,GC-entry,admission_skip,2,BUY,1789596896.442,1789596961.988,65.5460000038147,1,-4.609999999999673
historical7d:500ms:segment0,GC-entry,admission_skip,1,SELL,1789623087.402,1789623987.642,900.2400000095367,7,2.2899999999999636
historical7d:500ms:segment0,GC-entry,admission_skip,1,BUY,1789661749.9420002,1789662495.4540002,745.5120000839233,1,-4.0900000000001455
historical7d:500ms:segment0,GC-entry,admission_skip,2,BUY,1789663602.473,1789664765.407,1162.9340000152588,2,8.229999999999563
historical7d:500ms:segment0,GC-entry,admission_skip,1,BUY,1789702326.9910002,1789703227.079,900.0879998207092,7,-2.180000000000291
historical7d:500ms:segment0,I,admission_skip,1,SELL,1789579129.2659998,1789579778.929,649.6630001068115,1,-4.039999999999964
historical7d:500ms:segment0,I,admission_skip,1,SELL,1789594424.963,1789594435.471,10.507999897003174,1,-4.589999999999236
historical7d:500ms:segment0,I,admission_skip,2,BUY,1789594762.982,1789594922.468,159.48599982261658,2,8.520000000000437
historical7d:500ms:segment0,I,admission_skip,2,BUY,1789596896.442,1789596961.988,65.5460000038147,1,-4.609999999999673
historical7d:500ms:segment0,I,admission_skip,1,SELL,1789623087.402,1789623987.642,900.2400000095367,7,2.2899999999999636
historical7d:500ms:segment0,I,admission_skip,1,BUY,1789661749.9420002,1789662495.4540002,745.5120000839233,1,-4.0900000000001455
historical7d:500ms:segment0,I,admission_skip,2,BUY,1789663602.473,1789664765.407,1162.9340000152588,2,8.229999999999563
