window,interval,segment_id,variant,match,d_entries,shadow_entries
historical7d,500ms,0,Quote-entry,True,98,98
historical7d,500ms,0,Quote-exit,True,98,98
historical7d,500ms,0,Candidate-J,True,98,98
historical7d,500ms,1,Quote-entry,True,23,23
historical7d,500ms,1,Quote-exit,True,23,23
historical7d,500ms,1,Candidate-J,True,23,23
historical7d,500ms,2,Quote-entry,True,8,8
historical7d,500ms,2,Quote-exit,True,8,8
historical7d,500ms,2,Candidate-J,True,8,8
historical7d,500ms,3,Quote-entry,True,16,16
historical7d,500ms,3,Quote-exit,True,16,16
historical7d,500ms,3,Candidate-J,True,16,16
historical7d,500ms,4,Quote-entry,True,18,18
historical7d,500ms,4,Quote-exit,True,18,18
historical7d,500ms,4,Candidate-J,True,18,18
recent24h,500ms,-1,Quote-entry,True,39,39
recent24h,500ms,-1,Quote-exit,True,39,39
recent24h,500ms,-1,Candidate-J,True,39,39
historical7d,1s,0,Quote-entry,True,98,98
historical7d,1s,0,Quote-exit,True,98,98
historical7d,1s,0,Candidate-J,True,98,98
historical7d,1s,1,Quote-entry,True,21,21
historical7d,1s,1,Quote-exit,True,21,21
historical7d,1s,1,Candidate-J,True,21,21
historical7d,1s,2,Quote-entry,True,8,8
historical7d,1s,2,Quote-exit,True,8,8
historical7d,1s,2,Candidate-J,True,8,8
historical7d,1s,3,Quote-entry,True,11,11
historical7d,1s,3,Quote-exit,True,11,11
historical7d,1s,3,Candidate-J,True,11,11
historical7d,1s,4,Quote-entry,True,18,18
historical7d,1s,4,Quote-exit,True,18,18
historical7d,1s,4,Candidate-J,True,18,18
recent24h,1s,-1,Quote-entry,True,34,34
recent24h,1s,-1,Quote-exit,True,34,34
recent24h,1s,-1,Candidate-J,True,34,34
