interval,segment_id,Quote-entry_pnl_inr,Quote-entry_trades,Quote-entry_wins,Quote-entry_delayed_entries,Quote-entry_skipped_entries,Quote-entry_phase_exits,Quote-exit_pnl_inr,Quote-exit_trades,Quote-exit_wins,Quote-exit_delayed_entries,Quote-exit_skipped_entries,Quote-exit_phase_exits,Candidate-J_pnl_inr,Candidate-J_trades,Candidate-J_wins,Candidate-J_delayed_entries,Candidate-J_skipped_entries,Candidate-J_phase_exits,D_pnl_inr,H_pnl_inr
500ms,0,601.9425885552414,83,38,2,15,0,575.5040558588107,98,47,0,0,15,464.4564850757922,83,38,2,15,13,696.8428619834062,594.3818321275041
500ms,1,54.09877283824767,21,10,2,2,0,47.416322896859924,23,12,0,0,2,56.81016463479182,21,11,2,2,2,44.100517926115,47.416322896859924
500ms,2,-26.712370051243738,7,2,0,1,0,-10.490436534748028,8,3,0,0,1,-26.712370051243738,7,2,0,1,0,-13.57863832016642,-10.490436534748028
500ms,3,34.31993370500095,16,7,0,0,0,34.31993370500095,16,7,0,0,0,34.31993370500095,16,7,0,0,0,34.31993370500095,34.31993370500095
500ms,4,212.81535096220955,18,13,0,0,0,212.81535096220955,18,13,0,0,0,212.81535096220955,18,13,0,0,0,212.81535096220955,212.81535096220955
1s,0,116.68062718401757,81,34,2,17,0,171.33213305838785,98,44,0,0,12,105.02385266665522,81,35,2,17,8,169.91793307493617,174.47609491734272
1s,1,52.531694048028726,19,10,0,2,0,42.01460758291671,21,11,0,0,2,52.6149462291138,19,10,0,2,2,41.93295235703238,33.59478576044296
1s,2,-58.76156112451537,7,0,0,1,0,-33.484590853137775,8,2,0,0,2,-48.94451751530289,7,1,0,1,1,-45.95461543615477,-33.484590853137775
1s,3,80.42284290821033,11,6,0,0,0,54.11216477309654,11,6,0,0,1,54.11216477309654,11,6,0,0,1,80.42284290821033,54.11216477309654
1s,4,78.27872866041719,18,11,0,0,0,78.27872866041719,18,11,0,0,0,78.27872866041719,18,11,0,0,0,78.27872866041719,78.27872866041719
