context,variant,action,baseline_entry_ts,decision_ts,engine,engine_id,side,side_sign,phase,dir_mid_move2,dir_mid_move10,aligned_mag2,adverse_mag2,aligned_mag10,adverse_mag10,aligned_count2,adverse_count2,aligned_count10,adverse_count10,path_efficiency2,path_efficiency10,adverse_tail_run2,last_nonzero_sign2,seconds_since_aligned2,seconds_since_adverse2,bid_update_frac2,ask_update_frac2,both_update_frac2,bid_ask_update_imb2,bid_update_frac10,ask_update_frac10,both_update_frac10,bid_ask_update_imb10,spread_change2,spread_change10,deadline_ts,initial_phase,wait_sec
historical7d:500ms:segment0,Quote-entry,TAKE_UNCHANGED,1789573152.468,1789573152.468,BURST,4,BUY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical7d:500ms:segment0,Quote-entry,TAKE_IMMEDIATE,1789573826.844,1789573826.844,PRIMARY,1,BUY,1,HEALTHY_TREND,0.2999999999992724,0.42999999999938154,0.2999999999992724,0.0,0.7899999999999636,0.3600000000005821,7,0,18,11,1.0,0.37391304347754567,0,1,0.0,inf,0.75,0.75,0.5,0.0,0.7333333333333333,0.8666666666666667,0.6,-0.08333333333333333,0.0,0.019999999999527063,,,
historical7d:500ms:segment0,Quote-entry,TAKE_IMMEDIATE,1789574424.972,1789574424.972,PRIMARY,1,BUY,1,HEALTHY_TREND,0.4600000000000364,3.149999999999636,0.8599999999987631,0.3999999999987267,5.190000000000509,2.040000000000873,11,16,75,67,0.3650793650801213,0.43568464730277096,1,-1,0.04699993133544922,0.0,0.7142857142857143,0.6428571428571429,0.35714285714285715,0.05263157894736842,0.8013698630136986,0.7123287671232876,0.5136986301369864,0.058823529411764705,0.020000000000436557,-0.1999999999998181,,,
historical7d:500ms:segment0,Quote-entry,TAKE_IMMEDIATE,1789575064.3500001,1789575064.3500001,PRIMARY,1,BUY,1,HEALTHY_TREND,0.010000000000218279,0.3850000000002183,0.11999999999898137,0.10999999999876309,1.554999999998472,1.1699999999973443,6,7,39,30,0.04347826087094064,0.14128440366997463,1,-1,0.15000009536743164,0.0,0.5,0.9285714285714286,0.42857142857142855,-0.3,0.5352112676056338,0.971830985915493,0.5070422535211268,-0.2897196261682243,0.020000000000436557,-0.09000000000014552,,,
historical7d:500ms:segment0,Quote-entry,TAKE_IMMEDIATE,1789576948.978,1789576948.978,PRIMARY,1,SELL,-1,HEALTHY_TREND,0.44499999999970896,0.7449999999998909,0.569999999999709,0.125,2.4799999999995634,1.734999999998763,17,9,77,59,0.640287769784022,0.17674970344010105,0,1,0.0,0.1529998779296875,0.9259259259259259,0.4074074074074074,0.3333333333333333,0.3888888888888889,0.8776978417266187,0.6330935251798561,0.5107913669064749,0.1619047619047619,-0.010000000000218279,-0.09000000000014552,,,
historical7d:500ms:segment0,Quote-entry,TAKE_IMMEDIATE,1789577693.868,1789577693.868,PRIMARY,1,SELL,-1,IGNITION,0.24499999999989086,-0.10999999999967258,0.3850000000002183,0.14000000000032742,1.3200000000042564,1.430000000003929,11,7,43,39,0.46666666666597373,0.03999999999976188,1,-1,0.05000019073486328,0.0,0.7368421052631579,0.8421052631578947,0.5789473684210527,-0.06666666666666667,0.6547619047619048,0.8214285714285714,0.47619047619047616,-0.11290322580645161,-0.010000000000218279,-0.11999999999989086,,,
historical7d:500ms:segment0,Quote-entry,TAKE_UNCHANGED,1789578618.875,1789578618.875,MICRO,3,BUY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical7d:500ms:segment0,Quote-entry,TAKE_IMMEDIATE,1789579129.2659998,1789579129.2659998,PRIMARY,1,SELL,-1,HEALTHY_TREND,0.5300000000006548,1.0650000000005093,0.7100000000009459,0.18000000000029104,2.405000000002474,1.3400000000019645,13,6,46,42,0.5955056179774363,0.2843791722294385,0,1,0.0,0.2969999313354492,0.6666666666666666,1.0,0.6666666666666666,-0.2,0.6555555555555556,0.9444444444444444,0.6,-0.18055555555555555,-0.040000000000873115,-0.02999999999974534,,,
historical7d:500ms:segment0,Quote-entry,TAKE_IMMEDIATE,1789580254.921,1789580254.921,PRIMARY,1,BUY,1,HEALTHY_TREND,1.0,1.6899999999995998,1.3600000000014916,0.36000000000149157,2.4799999999995634,0.7899999999999636,19,9,45,32,0.5813953488362009,0.5168195718653958,0,1,0.0,0.10100007057189941,1.0,0.7931034482758621,0.7931034482758621,0.11538461538461539,0.8227848101265823,0.7341772151898734,0.5569620253164557,0.056910569105691054,0.0,0.06000000000040018,,,
historical7d:500ms:segment0,Quote-entry,TAKE_IMMEDIATE,1789581649.428,1789581649.428,PRIMARY,1,BUY,1,HEALTHY_TREND,0.27000000000043656,0.29500000000007276,0.9449999999987995,0.6749999999983629,2.530000000002474,2.2350000000033106,14,11,52,56,0.16666666666722807,0.06190975865680133,0,1,0.0,0.7000000476837158,0.8846153846153846,0.8076923076923077,0.6923076923076923,0.045454545454545456,0.8288288288288288,0.7927927927927928,0.6216216216216216,0.022222222222222223,-0.019999999999527063,0.049999999999272404,,,
