window,engine,side,entry_500ms,entry_1s,abs_delta_sec,bid_update_frac2_500ms,bid_update_frac2_1s,ask_update_frac2_500ms,ask_update_frac2_1s,both_update_frac2_500ms,both_update_frac2_1s,bid_ask_update_imb2_500ms,bid_ask_update_imb2_1s,bid_update_frac10_500ms,bid_update_frac10_1s,ask_update_frac10_500ms,ask_update_frac10_1s,both_update_frac10_500ms,both_update_frac10_1s,bid_ask_update_imb10_500ms,bid_ask_update_imb10_1s,trade_count2_500ms,trade_count2_1s,trade_count10_500ms,trade_count10_1s,trade_quote_ratio2_500ms,trade_quote_ratio2_1s,trade_quote_ratio10_500ms,trade_quote_ratio10_1s,buy_trade_count2_500ms,buy_trade_count2_1s,sell_trade_count2_500ms,sell_trade_count2_1s,dir_trade_count_imb2_500ms,dir_trade_count_imb2_1s,buy_trade_count10_500ms,buy_trade_count10_1s,sell_trade_count10_500ms,sell_trade_count10_1s,dir_trade_count_imb10_500ms,dir_trade_count_imb10_1s,buy_volume2_500ms,buy_volume2_1s,sell_volume2_500ms,sell_volume2_1s,dir_trade_volume_imb2_500ms,dir_trade_volume_imb2_1s,buy_volume10_500ms,buy_volume10_1s,sell_volume10_500ms,sell_volume10_1s,dir_trade_volume_imb10_500ms,dir_trade_volume_imb10_1s,last_move2_500ms,last_move2_1s,last_move10_500ms,last_move10_1s,dir_last_move2_500ms,dir_last_move2_1s,dir_last_move10_500ms,dir_last_move10_1s
historical7d,BURST,BUY,1789573152.468,1789573154.725,2.256999969482422,0.4666666666666667,1.0,0.9333333333333333,0.8571428571428571,0.4,0.8571428571428571,-0.3333333333333333,0.07692307692307693,0.6222222222222222,0.6282051282051282,0.9111111111111111,0.9230769230769231,0.5333333333333333,0.5512820512820513,-0.18840579710144928,-0.19008264462809918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,PRIMARY,BUY,1789573826.844,1789573826.844,0.0,0.75,0.75,0.75,0.75,0.5,0.5,0.0,0.0,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.8666666666666667,0.6,0.6,-0.08333333333333333,-0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,PRIMARY,BUY,1789574424.972,1789574424.972,0.0,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.35714285714285715,0.35714285714285715,0.05263157894736842,0.05263157894736842,0.8013698630136986,0.8013698630136986,0.7123287671232876,0.7123287671232876,0.5136986301369864,0.5136986301369864,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,PRIMARY,BUY,1789575064.35,1789575094.938,30.588000059127808,0.5,1.0,0.9285714285714286,0.7058823529411765,0.42857142857142855,0.7058823529411765,-0.3,0.1724137931034483,0.5555555555555556,0.7922077922077922,0.9722222222222222,0.8571428571428571,0.5277777777777778,0.6493506493506493,-0.2727272727272727,-0.03937007874015748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,MICRO,SELL,1789575485.9550002,1789575485.9550002,0.0,0.9285714285714286,0.9285714285714286,0.8214285714285714,0.8214285714285714,0.75,0.75,0.061224489795918366,0.061224489795918366,0.9833333333333333,0.9833333333333333,0.7416666666666667,0.7416666666666667,0.725,0.725,0.14009661835748793,0.14009661835748793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
historical7d,PRIMARY,SELL,1789576948.978,1789576936.915,12.062999963760376,0.9259259259259259,0.8666666666666667,0.4074074074074074,0.6666666666666666,0.3333333333333333,0.5333333333333333,0.3888888888888889,0.13043478260869565,0.8776978417266187,0.9357142857142857,0.6330935251798561,0.6357142857142857,0.5107913669064749,0.5714285714285714,0.1619047619047619,0.19090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
historical7d,BURST,BUY,1789577836.469,1789577836.916,0.44699978828430176,0.9,0.896551724137931,0.4666666666666667,0.4827586206896552,0.36666666666666664,0.3793103448275862,0.3170731707317073,0.3,0.918918918918919,0.9090909090909091,0.6126126126126126,0.6,0.5315315315315315,0.509090909090909,0.2,0.20481927710843373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,SECONDARY,SELL,1789578167.976,1789578167.976,0.0,0.7777777777777778,0.7777777777777778,0.8518518518518519,0.8518518518518519,0.6296296296296297,0.6296296296296297,-0.045454545454545456,-0.045454545454545456,0.7456140350877193,0.7456140350877193,0.8508771929824561,0.8508771929824561,0.5964912280701754,0.5964912280701754,-0.06593406593406594,-0.06593406593406594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
historical7d,MICRO,SELL,1789578278.771,1789578278.771,0.0,0.7931034482758621,0.7931034482758621,0.6896551724137931,0.6896551724137931,0.4827586206896552,0.4827586206896552,0.06976744186046512,0.06976744186046512,0.8333333333333334,0.8333333333333334,0.7166666666666667,0.7166666666666667,0.55,0.55,0.07526881720430108,0.07526881720430108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
historical7d,MICRO,SELL,1789578384.442,1789578384.9910002,0.5490002632141113,0.9130434782608695,0.92,0.4782608695652174,0.32,0.391304347826087,0.24,0.3125,0.4838709677419355,0.9534883720930233,0.9538461538461539,0.46511627906976744,0.43846153846153846,0.4186046511627907,0.3923076923076923,0.3442622950819672,0.3701657458563536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
