match_set,window,feature,pairs,spearman
strict_10s,historical7d,bid_update_frac2,163,0.8244964904378201
strict_10s,historical7d,ask_update_frac2,163,0.9126254016508425
strict_10s,historical7d,both_update_frac2,163,0.8665845246518357
strict_10s,historical7d,bid_ask_update_imb2,163,0.8844948764314241
strict_10s,historical7d,bid_update_frac10,163,0.9665568382955726
strict_10s,historical7d,ask_update_frac10,163,0.9790033447310285
strict_10s,historical7d,both_update_frac10,163,0.9739800541468072
strict_10s,historical7d,bid_ask_update_imb10,163,0.9767470054017233
strict_10s,historical7d,trade_count2,163,nan
strict_10s,historical7d,trade_count10,163,nan
strict_10s,historical7d,trade_quote_ratio2,163,nan
strict_10s,historical7d,trade_quote_ratio10,163,nan
strict_10s,historical7d,buy_trade_count2,163,nan
strict_10s,historical7d,sell_trade_count2,163,nan
strict_10s,historical7d,dir_trade_count_imb2,163,nan
strict_10s,historical7d,buy_trade_count10,163,nan
strict_10s,historical7d,sell_trade_count10,163,nan
strict_10s,historical7d,dir_trade_count_imb10,163,nan
strict_10s,historical7d,buy_volume2,163,nan
strict_10s,historical7d,sell_volume2,163,nan
strict_10s,historical7d,dir_trade_volume_imb2,163,nan
strict_10s,historical7d,buy_volume10,163,nan
strict_10s,historical7d,sell_volume10,163,nan
strict_10s,historical7d,dir_trade_volume_imb10,163,nan
strict_10s,historical7d,last_move2,163,nan
strict_10s,historical7d,last_move10,163,nan
strict_10s,historical7d,dir_last_move2,163,nan
strict_10s,historical7d,dir_last_move10,163,nan
strict_10s,recent24h,bid_update_frac2,33,0.9212845274408686
strict_10s,recent24h,ask_update_frac2,33,0.8891862538414875
strict_10s,recent24h,both_update_frac2,33,0.9022166741618384
strict_10s,recent24h,bid_ask_update_imb2,33,0.9395820636888405
strict_10s,recent24h,bid_update_frac10,33,0.9862876254180603
strict_10s,recent24h,ask_update_frac10,33,0.9933963365105576
strict_10s,recent24h,both_update_frac10,33,0.9734158711758444
strict_10s,recent24h,bid_ask_update_imb10,33,0.9799331240692657
strict_10s,recent24h,trade_count2,33,nan
strict_10s,recent24h,trade_count10,33,nan
strict_10s,recent24h,trade_quote_ratio2,33,nan
strict_10s,recent24h,trade_quote_ratio10,33,nan
strict_10s,recent24h,buy_trade_count2,33,nan
strict_10s,recent24h,sell_trade_count2,33,nan
strict_10s,recent24h,dir_trade_count_imb2,33,nan
strict_10s,recent24h,buy_trade_count10,33,nan
strict_10s,recent24h,sell_trade_count10,33,nan
strict_10s,recent24h,dir_trade_count_imb10,33,nan
strict_10s,recent24h,buy_volume2,33,nan
strict_10s,recent24h,sell_volume2,33,nan
strict_10s,recent24h,dir_trade_volume_imb2,33,nan
strict_10s,recent24h,buy_volume10,33,nan
strict_10s,recent24h,sell_volume10,33,nan
strict_10s,recent24h,dir_trade_volume_imb10,33,nan
strict_10s,recent24h,last_move2,33,nan
strict_10s,recent24h,last_move10,33,nan
strict_10s,recent24h,dir_last_move2,33,nan
strict_10s,recent24h,dir_last_move10,33,nan
broad_120s,historical7d,bid_update_frac2,181,0.7403882819495132
broad_120s,historical7d,ask_update_frac2,181,0.8226787874937433
broad_120s,historical7d,both_update_frac2,181,0.7928594132414644
broad_120s,historical7d,bid_ask_update_imb2,181,0.7967930774631012
broad_120s,historical7d,bid_update_frac10,181,0.9204947863625169
broad_120s,historical7d,ask_update_frac10,181,0.9423590472755511
broad_120s,historical7d,both_update_frac10,181,0.93576801727553
broad_120s,historical7d,bid_ask_update_imb10,181,0.9531458228682264
broad_120s,historical7d,trade_count2,181,nan
broad_120s,historical7d,trade_count10,181,nan
broad_120s,historical7d,trade_quote_ratio2,181,nan
broad_120s,historical7d,trade_quote_ratio10,181,nan
broad_120s,historical7d,buy_trade_count2,181,nan
broad_120s,historical7d,sell_trade_count2,181,nan
broad_120s,historical7d,dir_trade_count_imb2,181,nan
broad_120s,historical7d,buy_trade_count10,181,nan
broad_120s,historical7d,sell_trade_count10,181,nan
broad_120s,historical7d,dir_trade_count_imb10,181,nan
broad_120s,historical7d,buy_volume2,181,nan
broad_120s,historical7d,sell_volume2,181,nan
broad_120s,historical7d,dir_trade_volume_imb2,181,nan
broad_120s,historical7d,buy_volume10,181,nan
broad_120s,historical7d,sell_volume10,181,nan
broad_120s,historical7d,dir_trade_volume_imb10,181,nan
broad_120s,historical7d,last_move2,181,nan
broad_120s,historical7d,last_move10,181,nan
broad_120s,historical7d,dir_last_move2,181,nan
broad_120s,historical7d,dir_last_move10,181,nan
broad_120s,recent24h,bid_update_frac2,36,0.9145217979100059
broad_120s,recent24h,ask_update_frac2,36,0.7913178157759987
broad_120s,recent24h,both_update_frac2,36,0.8220519249207978
broad_120s,recent24h,bid_ask_update_imb2,36,0.8864839654699904
broad_120s,recent24h,bid_update_frac10,36,0.9154594056707231
broad_120s,recent24h,ask_update_frac10,36,0.9766962872247644
broad_120s,recent24h,both_update_frac10,36,0.8613364518853949
broad_120s,recent24h,bid_ask_update_imb10,36,0.9678084035939492
broad_120s,recent24h,trade_count2,36,nan
broad_120s,recent24h,trade_count10,36,nan
broad_120s,recent24h,trade_quote_ratio2,36,nan
broad_120s,recent24h,trade_quote_ratio10,36,nan
broad_120s,recent24h,buy_trade_count2,36,nan
broad_120s,recent24h,sell_trade_count2,36,nan
